"","feature","id.x","structurePerIdRank","formulaRank.x","ConfidenceScoreExact","ConfidenceScoreApproximate","CSI:FingerIDScore","ZodiacScore","SiriusScoreNormalized","SiriusScore","molecularFormula.x","adduct.x","precursorFormula.x","InChIkey2D","InChI","name","smiles","xlogp","pubchemids","links","dbflags","ionMass.x","retentionTimeInSeconds.x","retentionTimeInMinutes.x","formulaId.x","alignedFeatureId.x","overallFeatureQuality.x","formulaRank.y","molecularFormula.y","adduct.y","precursorFormula.y","NPC#pathway","NPC#pathway Probability","NPC#superclass","NPC#superclass Probability","NPC#class","NPC#class Probability","ClassyFire#superclass","ClassyFire#superclass probability","ClassyFire#class","ClassyFire#class Probability","ClassyFire#subclass","ClassyFire#subclass Probability","ClassyFire#level 5","ClassyFire#level 5 Probability","ClassyFire#most specific class","ClassyFire#most specific class Probability","ClassyFire#all classifications","ionMass.y","retentionTimeInSeconds.y","retentionTimeInMinutes.y","formulaId.y","alignedFeatureId.y","overallFeatureQuality.y","id.y","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","sl1_1","sl1_3","sl1_4","sl1_5","sl1_6","sl1_7","sl1_8","sl2_2","sl2_3","sl2_4","sl2_5","sl2_6","sl2_7","sl2_8","sl2_9","sl3_1","sl3_2","sl3_3","sl3_4","sl3_5","sl3_6","sl3_7","sl3_9","px1_1","px1_2","px1_3","px1_4","px1_5","px1_6","px1_7","px1_8","px2_1","px2_2","px2_3","px2_7","px2_8","px2_9","px2_10","px2_12","px3_1","px3_2","px3_3","px3_5","px3_6","px3_7","px3_8","mp1_2","mp1_3","mp1_4","mp1_5","mp1_7","mp1_8","mp1_10","mp1_11","mp2_1","mp2_3","mp2_4","mp2_5","mp2_8","mp2_9","mp2_10","mp2_11","mp3_3","mp3_9","mp3_11","mp3_12","mp3_13","mp3_16","mp3_17","le1_1","le1_2","le1_3","le1_4","le1_5","le1_6","le1_7","le1_8","le2_1","le2_2","le2_3","le2_4","le2_5","le2_6","le2_7","le2_8","le3_1","le3_2","le3_3","le3_4","le3_5","le3_6","le3_7","le3_8","id","ctrl_vs_sl1_log2FC","ctrl_vs_sl1_padj","ctrl_vs_sl2_log2FC","ctrl_vs_sl2_padj","ctrl_vs_sl3_log2FC","ctrl_vs_sl3_padj","ctrl_vs_px1_log2FC","ctrl_vs_px1_padj","ctrl_vs_px2_log2FC","ctrl_vs_px2_padj","ctrl_vs_px3_log2FC","ctrl_vs_px3_padj","ctrl_vs_mp1_log2FC","ctrl_vs_mp1_padj","ctrl_vs_mp2_log2FC","ctrl_vs_mp2_padj","ctrl_vs_mp3_log2FC","ctrl_vs_mp3_padj","ctrl_vs_le1_log2FC","ctrl_vs_le1_padj","ctrl_vs_le2_log2FC","ctrl_vs_le2_padj","ctrl_vs_le3_log2FC","ctrl_vs_le3_padj"
"1","1000.19244_8.4443","5539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5539",1.05304402780704,1.06436708186948,1.0059566932303,1090.59092054019,0.982005343391482,1.0759362892811,1.10475601131542,1.01837591166524,3159.23049875081,8493.61866935254,1796.24936887902,3287.0080628316,2692.09163594184,2851.39175410078,1253.7618126139,3253.06998072208,1970.93702032925,5796.97219343315,12716.8308863079,15223.1390070415,5945.41068593346,4591.41880004734,5437.03863186319,12968.9275542036,7090.53340281397,43470.1032007963,4045.35804221932,20577.2310664462,26764.086523302,5956.13166719898,17510.6479207921,0.983957640296833,255.220961518832,0.962900181068691,4001.10303775869,1.02896193985303,364.321383518314,520.793612744733,429.344785276074,1709.66276366767,352.626059097138,475.06834288692,4690.38946550591,801.149766369568,1944.37057991513,4383.67185289958,4297.13812831177,2958.76600119028,760.563138456703,11311.2285478548,1052.77257645765,5543.64230841689,5834.7333999455,2843.19834790497,0.942725129655823,0.942725129655823,1.05980876460237,208.610974368465,1.11220380465013,1.04415758031499,1.01628479069673,0.908129712053774,372.446910335893,113.705267032279,0.92857540913566,1.01837591166524,0.923378158711394,1.09984598459846,170.260047851544,194.422569388086,1.09740730170578,335.272352450851,0.925104099194966,0.949962942551453,1.0759362892811,1.06208303233757,0.96666150990099,1.03759055150798,0.944524223414708,0.951789794364052,1.05080826553993,1.0736023710831,146.959683863123,0.983957640296833,1088.43248853187,1.06208303233757,347.87428385549,413.030341983542,1.09984598459846,170.518348187986,1.03759055150798,1.02258407658948,1.06436708186948,1.03759055150798,1.0736023710831,1.01420223989612,1.02470122788676,0.901513102129885,311.891669511779,138.499953620617,213.432151371319,"5539",4.61453942718195,0.0442189082644608,5.64490834081144,0.0156582258006239,6.97778255357394,0.0212418371155573,2.3439102188652,0.415098655093474,4.0866785086876,0.0363588338570697,4.97938389979218,0.0649236601786251,-2.34806384980109,0.567548639719201,-0.361073359298876,0.892889892853119,-1.49277390671847,0.645979992331947,0.177267520409183,0.949549321105024,-0.229067043755738,0.918349584417068,-0.71493120348094,0.77126734804881
"2","1000.57362_20.125","8359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8359",18165.0094796714,28322.8080485468,15169.8269339129,22790.0571583577,21338.9761118969,19377.6125699526,17797.6193422914,30215.2132991077,18030.2788933099,11352.0571634899,12225.5936118024,13594.9316957012,13305.1452007125,19765.569043045,11326.1179476581,11180.3814407906,5185.54603862753,20612.9264151359,17964.8887383708,12015.9166458162,14785.4971010615,10825.376513747,11410.402160216,17879.4923562806,10125.7610005211,14769.3603646079,17948.2413599851,11755.7646796575,17065.1262323685,21124.3604279783,11571.4796039604,18331.13083873,20368.6940900276,7889.04118349578,10473.884005635,11184.8162862024,8184.60057272268,19601.8603439291,17600.9095142643,12222.6362462333,11027.4031613688,7534.66857738405,11521.8272008287,12152.0405096643,17332.3943108597,21190.5200099842,17032.3696932593,17345.112084979,17843.0370894232,19704.4282178218,16783.6497249725,19964.6461390325,17953.7244073031,9840.7272306178,22738.5301272984,9662.93257897218,12611.7242987682,10546.1867308226,12445.5605740349,5139.3436103104,21799.3087604448,17799.342356254,11425.0356250578,18242.5197835769,14467.2048743336,12678.7801002322,10221.7962169351,12747.2149614962,8656.91151354821,12403.6933939296,16581.8243287743,19990.3218330047,18613.0944758027,10411.5938503639,20432.0301334481,12617.5464241703,15708.2495358911,32051.1721360815,18285.9889653087,33750.4661081493,31082.9084946711,35750.9589570671,31063.4132360604,17130.7025175679,15698.7450443158,15856.8996727999,14847.9207920792,6221.45524120892,26275.3205720572,19740.2299462192,24123.9803225606,14152.5636199984,25289.3618652188,12959.5059883347,22094.7367968901,24239.4335335173,16989.5463583625,11359.0650868366,13386.595254353,12045.6655441512,20559.4854062413,"8359",-0.605390073121873,0.0283395131037363,-0.735929325754133,0.0142772727300786,-0.502536796965285,0.0382528226326222,-0.607841902893364,0.0449024619946277,-0.654563071586276,0.0210554045915158,-0.34337368202203,0.143906150145398,-0.619211405668051,0.0665651443574677,-0.780135178160768,0.00709219495069047,-0.406088117002742,0.0886064599222928,0.310842048279583,0.339433182421275,-0.241271553911611,0.425892327254477,-0.373960878899433,0.120212281179188
"3","1000.57523_20.2318","8401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8401",25178.2827048662,19978.1701266901,16719.0002414876,17995.7187421286,19532.0862800566,19054.8316831683,21034.5544554455,18595.5441470073,8296.33356158046,12055.0297409779,12225.5936118024,12759.6056314492,8318.56315506028,12399.6495598387,11485.7730099386,10965.1941829344,11997.4323822915,12224.4574301528,11760.8279379246,12194.5919862744,10264.2383373472,10628.1929706915,8132.16122412241,12281.2547712697,10418.5515789474,14769.3603646079,9609.12609751541,10762.1889918823,12042.2627230876,11435.2938358352,10799.3877227723,12555.2994901876,10714.9943860365,10091.1938975999,10473.884005635,11390.608674173,11302.009021318,10717.2962108241,11801.4148899553,12222.6362462333,12030.77142802,12101.9237450061,11521.8272008287,12152.0405096643,8881.25632563256,11936.5637740245,12262.4619476873,10133.0072679399,11194.8609146629,10702.8762376238,13286.1394939494,13037.7091662655,9762.39440457807,7669.01379962558,12387.4082036775,9662.93257897218,11732.0830241482,11064.2450263718,13112.882856825,11485.7333834649,12185.2546404538,10688.6867108729,11425.0356250578,8339.30619455998,10437.1875986848,12159.408385283,9981.71789567016,13044.1733773377,11084.8917504717,12403.6933939296,11566.6729599789,11626.2980055706,11748.8220597761,10573.0875505977,16235.8786052518,12989.2754854885,11222.9401299505,21208.3508728231,18389.8866298844,18617.0083777609,18672.8628786446,20226.6686712055,13057.0531526837,17012.6276007322,16207.1644145547,16749.0494199635,14705.6409213817,16082.9260862296,15584.8176017602,14287.4426559739,14225.3664611744,14019.6276900417,13879.346747578,3031.83959150632,14074.9270848994,13539.5999026132,12634.5661398438,11899.9729481145,13386.595254353,12146.4660926378,12464.5235282747,"8401",-0.835061661082646,0.000138451095953453,-0.842417325923459,7.50091851338115e-05,-0.779183574706151,0.000100906528604632,-0.828095518588804,0.000169236611458258,-0.763729592701489,0.000150629573439004,-0.868081209743244,7.27113371378517e-05,-0.776026539915608,0.000228560360378041,-0.830873296395365,8.41174811763862e-05,-0.686297188264082,0.000262948847396077,-0.14076884061593,0.353852374429674,-0.403305920396317,0.00366014424553107,-0.762660715602165,0.000761795432638236
"4","1000.58281_20.7573","8670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8670",74502.8649673478,58316.6724156287,61574.6091926266,63275.5815620701,59872.8657865787,64394.786913474,66428.9789603961,64300.2550625433,50501.4327750532,47032.6652857224,50146.4136214707,50192.6548857417,45910.5165914081,49756.8916379911,42055.0216995134,52795.725916637,41624.9403401879,50551.273015943,44464.0954638723,41631.3543267684,45818.9892070288,43035.308271863,43760.8720072007,45134.5798376315,47159.0803543512,38507.7028655246,43283.0898561554,39315.8828228039,42610.2751676441,43426.1769402747,43553.900990099,50870.6100033463,42339.5349596815,44514.8753708056,39961.4381237723,39913.433646899,38013.296898688,15601.4806819028,45414.1926339873,45426.0301334481,47872.2436454172,44771.690984888,43747.0932525848,44903.8990551862,42353.8904604746,44772.5118562276,40628.6389833013,45787.8504571769,43198.4150557913,12734.154290429,46204.5298129813,43016.069327863,41919.2675084022,43714.0540018914,57374.2513908534,42875.1388967468,45434.0017385036,41361.4042750069,48670.0384914896,42361.4730333793,47114.9628967004,42545.8770097193,49215.5380771722,40100.4254849277,42853.7551316107,49574.5393798639,40333.1579725137,52902.5918591859,44397.9085374156,49168.5245901639,64472.6789752146,56485.1086669242,50825.2192097714,53644.4073658805,57734.7412828239,57777.3169591637,46187.0869430693,64994.6721464599,60742.3528077999,65873.371667936,63132.560593639,70278.0112110994,62474.1462567309,63179.9200834596,62110.1704132677,72476.5461267157,57308.2993473885,57478.8178254974,59237.704730473,50006.0492959085,55770.492143554,52857.3709189101,66640.022995848,62411.071673205,58479.1211528962,54442.3762376238,54391.1411762294,50304.4310988476,56618.3646295664,53847.6530015527,54989.9134468761,"8670",-0.418652088094923,0.000160921285425656,-0.495341212845585,3.51713677044493e-05,-0.579851539579868,1.50799527031201e-05,-0.695228181273954,0.00122340174167505,-0.53233300602672,3.54628401921396e-05,-0.697708558954971,0.00569112663728528,-0.479346030937523,0.000133770268075742,-0.476174524960196,7.97099479399269e-05,-0.21257058443636,0.025043312374121,0.000333686407468826,0.995472804514888,-0.119921053698103,0.218170955440709,-0.202647100304284,0.00560683783585273
"5","1001.57618_20.1157","8297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8297",2498.8734779861,4326.65218779943,3842.75456813974,4423.38253473097,4738.1757818639,4998.8,5246.48629773692,4651.94116448682,2993.63686499491,2348.30839398719,2539.98789680053,2728.38375736308,3462.44401176519,3164.81268340054,3003.39346572228,2442.84317505475,2540.05850762591,2809.75130653377,2390.00737095842,2488.94749258319,2329.29544197663,2195.638751923,2649.22901890189,3022.85458526283,2606.98230328296,3598.06757818639,1219.58393424248,2678.01147994724,3210.21925122449,2706.15330565315,2612.2441980198,3146.69653366927,1329.67977952434,1929.65196286166,2464.73501458362,2812.15298161833,2568.21314267533,2450.46512320405,2726.67338881127,2544.58932414981,2759.26273329087,1718.14755949279,2680.7916010917,2583.72343097096,2543.39383938394,2494.40910225476,2534.80495682831,2276.32058287796,2751.57897218293,1090.9097359736,3387.52563256326,2548.94538756201,2377.48358615678,2246.00127381159,3061.97122112211,2329.47379537954,3374.43110649395,2927.02936985287,3098.59979975526,920.424907047667,3273.45331083416,2326.62832228177,2716.10563523642,2424.05646140822,2574.93960953319,1855.48091105407,2419.25077582385,2614.33390539054,2590.36417747865,3333.68276253855,2698.52455489451,3008.20298046232,2826.19302304062,2428.10528116151,2849.07929401636,3116.15161687843,2395.38722153465,4476.16563920543,3943.38863275641,4603.80723533892,4546.84736499128,5098.53766027362,4936.28243877019,4081.45629195126,3789.28069410715,4117.69591637275,3089.50576371806,2998.36999609905,3677.88497249725,2397.70646699987,2967.50897731283,3316.24016037967,3120.72428404131,3447.91340266102,3983.06479671828,3407.71952605097,2542.28374638706,3108.41717614384,3117.85003414135,2878.86366477788,2910.53602800627,"8297",-0.586137228041084,0.00980081618050868,-0.807228910526886,0.00235505317590752,-0.681419206930222,0.0044648214292872,-0.83790323962231,0.00159591116629004,-0.806258646375195,0.00213770451108222,-0.865402967500314,0.0021969138707564,-0.704393738295878,0.00837438829347508,-0.758452394817802,0.00258050060738466,-0.653197598532387,0.00447915491514777,0.0307733070309724,0.858709030023688,-0.435098700054726,0.024605314034224,-0.45142241140171,0.0145249988734569
"6","1001.58612_20.7556","8668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8668",41068.7170844744,31973.5871393591,32884.7243016985,34209.2995679216,32916.8191104825,36237.5342229875,36467.9959335219,34421.1058142851,27383.081336171,25411.5087132514,26581.2686874474,28776.9829134812,23483.3224242926,27099.8298465241,21825.7861611588,28198.8867468978,21944.8559767219,26862.94207149,23631.1978803514,22941.9137148372,24470.0868789582,22715.5441599937,22658.8270027003,24717.4780570034,23121.0780614904,20661.3924249568,22888.2099757146,20818.6606728215,22539.8372958315,22671.0188438199,21361.2087128713,28475.7341101903,22909.6784730019,23446.6194090226,21761.0809738288,21618.4903563121,19844.0075614367,18848.3004541056,24230.3492680556,23961.1011622901,25392.9353637118,24192.9937467431,23063.5711297488,24211.4744447418,21731.7782492535,22822.959480822,21971.12373071,24953.8826669552,22291.5212949866,17198.8415841584,24746.5346534653,22978.1776317167,21622.5684440004,22498.6038252948,30808.2572371523,23351.3014615747,23697.323976509,22369.0171185343,25046.8296807209,21071.0999707566,25000.6058511395,21940.4138432192,26596.7428518553,20974.7579962457,22397.2388683521,27587.8034470114,22161.0758090734,29002.9386138614,22830.9875702698,26237.4119461126,34008.6522798621,30600.3350478785,26291.4584991209,29477.3501073716,32439.4791218252,31182.757829431,24098.8714418317,36284.5415862341,34135.1054342075,36615.3533891851,35191.5688129323,38681.8934301239,33624.8966475595,35156.8064878058,33700.9411129792,39254.5888751965,32023.1337548539,32119.4234020025,31191.6321232123,27396.9312631839,28087.576229321,29286.8079535226,37263.4915362504,34510.2617431554,31853.7823500354,28671.4973218633,29921.2758542935,28037.0574762394,30463.837487197,30078.8836684076,30264.8508408325,"8668",-0.441215234955022,0.000290802559057195,-0.534584146646378,3.46684063107286e-05,-0.648176512737242,2.1719474445667e-05,-0.629293409148334,1.96944822906281e-05,-0.58063276578106,3.63929825709337e-05,-0.649481108206562,2.03804994673988e-05,-0.535624304898629,0.000100357712611407,-0.502390979327723,0.000118501346646454,-0.23643841250621,0.0231801466843609,0.0164416262087479,0.823519257653117,-0.12669909129618,0.22166176568939,-0.200646172451641,0.00847095234944206
"7","1002.58936_20.7552","8671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8671",7661.94834632399,6323.40483338656,6722.80858085809,7051.06740811067,6434.09900990099,6524.4776582006,7235.04711810467,6669.34384549566,4232.35125381697,4143.73835540944,4733.61380767372,5082.95910097339,4363.25928994573,4443.82334438135,4011.0986529393,4154.04967339834,4145.89872478372,4844.58885532206,4145.6669522083,3814.71851878329,4253.72865935242,3801.69871011005,3912.65209720972,4047.58388715584,3960.48750390829,3677.93734611556,4014.54160283953,3431.08613675627,3971.00443547539,3932.50375279463,3807.00689108911,4020.45091825286,3345.11919975503,3436.59074623416,2868.41596063414,3083.79893373953,2990.16728742818,2729.56137869426,3289.41667172852,1468.6530348687,3673.87149943064,3536.14955706097,3141.86385640576,3489.20993804162,2551.24988213107,3666.2303020218,2352.23990373451,2954.25843567963,2564.99795693855,1501.2897689769,993.710847084708,3048.06154103783,2397.46243982196,2749.61496149615,4618.41041018388,3977.35732201792,3616.06750482329,3244.34007587675,4100.69542774502,3153.35589255128,4244.00528594954,3825.0423471705,7883.7371333395,3338.48231440244,3811.80205450189,3913.61862852952,3289.07300132998,4547.86314631463,3733.8582738431,3944.23251095601,4919.67693354701,4030.58547990323,3952.0447117609,7914.14127439615,4525.38803271632,5005.59733140696,3298.24907178218,6471.45226975528,5943.89093794876,6759.6111195735,6761.95118874945,6980.56261678229,6150.81631057843,6435.08296754129,6241.10716732051,6918.40887264692,6074.33419399435,5952.16837255958,5889.67524752475,5718.77691415975,5491.96678913174,4942.14884215694,6526.69894602363,5714.01116715445,6144.22636970855,5420.91097224477,5177.81530451182,5201.73059928944,5036.77313076135,5493.62989252082,5248.84199222525,"8671",-0.624069477545,5.96137910145294e-06,-0.723833326054789,6.97959171891013e-07,-0.824583926180731,1.71352523143157e-06,-1.08415755787084,5.46964273329515e-08,-1.19371664349461,5.43901066130217e-06,-1.5600119304573,7.73685317938626e-06,-0.827528122439571,7.70670217247048e-07,-0.6644529817635,0.00841815194625901,-0.50642085898233,0.0293330418297039,-0.0780825219393657,0.248075082762055,-0.201129261417305,0.0182062465210026,-0.33053167026796,8.98931088680951e-05
"8","1007.19498_6.3652","4687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4687",1661.7034758795,1425.18752262323,1604.50092570233,1421.83612020693,1740.11346848971,897.976427034008,661.306948373409,499.717059854134,1932.54246321828,1705.18348187986,1534.01665085134,2738.82533316623,1985.93529143709,2074.69881145897,2174.12628928927,2095.73677216493,2735.29743980315,2332.457341948,3437.62726856187,2449.63891768238,2429.17334760503,2936.06295609641,3785.7698649865,3388.96770068396,3247.78730588848,3962.06422547017,2306.56379600224,4046.73163301321,3907.955939543,2809.92909613542,4208.89061386139,473.578812274866,980.16686740839,940.175736795469,1126.7360066668,1139.0608674173,632.182739710644,1011.2587657262,943.303488631072,653.954076625054,1116.24719664949,1032.84220948411,879.124377950874,865.974368580309,1028.15959453088,970.313703303103,432.35203614178,1229.66387130516,827.928705013358,847.25948019802,780.890649064906,604.799028740083,909.037841765828,1211.76013741725,2312.50474304573,2205.03407826497,590.737405389361,1148.05418710095,1136.67228835243,978.793315787275,160.674625409153,1146.96782632392,837.589251411122,2246.50697486105,341.158605316442,1.01837591166524,548.948315353923,1.09984598459846,0.972358925479974,180.933679597468,152.320133476762,163.418594344034,557.005178125289,0.949962942551453,1.0759362892811,1.06208303233757,0.96666150990099,705.042779749673,1347.83606681279,909.435148514851,714.339458914044,168.555572260046,465.408511377454,572.269763596638,168.089669344293,402.317052649471,705.911415617948,292.129823714079,1.09984598459846,391.764717508219,810.046943562281,450.039252107029,426.491889705099,507.693056852855,118.74042224179,177.89107287778,206.374827296394,423.801309311259,216.318846022533,138.802355266076,247.03590558622,"4687",0.705672878450003,0.020027753391739,1.16337643945962,0.000543967172273696,1.49187527501003,8.07363096275036e-05,-0.451948913430204,0.195896142459058,-0.506212330819658,0.162426412347767,-0.435955025459665,0.229469300433081,-0.0343026019959899,0.950423960321755,-1.25325729806303,0.105558114455459,-3.30626356224661,0.00118657643578443,-0.972663493335215,0.0697626652234973,-1.51022117704295,0.00721122786853922,-2.28302236200431,0.00184998675646013
"9","1007.46579_19.3632","7662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7662",3456.09049926269,2892.94972852124,2426.36754407148,2863.04330472186,2084.79734402012,2681.23323288851,3288.858645686,2732.30257099784,3903.93929860276,3617.45888523593,4340.71222673804,3889.48698667335,3675.74050292058,4235.93134750575,3372.47840381761,4459.98981826349,3385.44308395337,3184.53178680897,3603.93194812439,3174.16742324052,3674.08009990188,3384.65551654767,3515.80766876688,3725.0556664277,4099.06809796769,3232.76159044476,3824.97380907902,3977.08847732803,3231.23541653528,3352.75630788885,3193.29283168317,4237.90555675846,3983.93696029397,4175.13518511384,4140.95319351574,4210.51225787859,3279.26669037414,3666.39447628973,3440.22377452469,4342.47886353853,3937.25566942659,3443.89273927393,4822.83570731319,3325.60498960499,4172.54070407041,4655.05191779682,4472.31615613587,3981.08185900557,3899.54321860757,3574.84315181518,4501.6696149615,3872.59724111946,4321.78929966391,3887.08725609403,5787.3895709571,4613.6967845356,5037.27105815507,5085.29723327473,6081.5304038269,4605.77908676944,3867.97991339175,4798.55739849214,5040.89223651337,3958.5255990283,3803.44487581966,5689.6662184737,5080.42662923009,4613.85390539054,4934.72154681087,4724.15403343613,5369.61392724638,5321.26716408807,5433.13637457204,4282.43294502195,5895.05492897116,5510.08677176731,4808.17435024752,4092.25713514748,2917.63532612803,3386.4680883473,3819.68804523764,3809.14121260282,3626.2356261942,3590.46142944314,3441.68785935197,3795.88475757447,4096.64399129851,3614.01549235599,4110.12444444444,3269.7724482621,4146.21184382589,4144.53326241715,4262.79016288726,5549.03426946468,4783.97216554627,4248.49318292485,4490.2407805998,4185.72533318906,4498.1093376579,4320.31150813656,4503.76194669358,"7662",0.462363988358462,0.0017483776148338,0.339857784409467,0.0130563227862002,0.352692339865738,0.00734263238907613,0.473356801859329,0.00108540151701957,0.564815643042033,0.000917072753924035,0.514910649524435,0.000423716310351762,0.830425676471483,0.000184163953681644,0.754979478385874,0.000142016319896667,0.900118325388496,2.34251468766511e-05,0.355075489613911,0.0157321114603411,0.487450791690603,0.000627638416040383,0.705891869901513,2.02950931154142e-05
"10","1008.04534_8.4443","5542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5542",1.05304402780704,1.06436708186948,1.0059566932303,411.538261223383,0.982005343391482,1.0759362892811,1.10475601131542,1.01837591166524,2163.81848801703,5988.56638984436,1049.82586432242,1643.5040314158,2090.51269729483,1834.09284553189,761.085073365021,2157.48615920193,1437.93473548538,3713.63364131513,9382.77060382095,11167.2087786396,4293.85817500669,3403.38795313794,3438.41850585059,8612.37519133518,4746.1248566962,39895.6037508513,3075.1071175042,17271.5026099233,22655.4262050409,4395.50343340786,13679.8843564356,0.983957640296833,174.909527406349,0.962900181068691,3492.2865136213,1.02896193985303,0.935596773287915,356.964110771979,1.0121282066857,1103.91063280241,192.087136432942,1.08537432690637,2808.25866087615,455.006969803009,1247.14678610718,2800.10158915051,2827.12009964323,1819.25344009811,278.496715385824,9504.73151815182,668.376404840484,3601.58867979821,4122.90889272413,1736.5989230502,0.942725129655823,0.942725129655823,1.05980876460237,232.108618488017,1.11220380465013,1.04415758031499,1.01628479069673,0.908129712053774,149.404312019987,0.919945526151128,0.92857540913566,1.01837591166524,0.923378158711394,1.09984598459846,0.972358925479974,1.01420223989612,1.09740730170578,1.01628479069673,0.925104099194966,0.949962942551453,1.0759362892811,1.06208303233757,0.96666150990099,1.03759055150798,0.944524223414708,0.951789794364052,1.05080826553993,1.0736023710831,1.08537432690637,0.983957640296833,582.50333561658,1.06208303233757,1.01628479069673,0.92857540913566,1.09984598459846,0.949962942551453,1.03759055150798,1.02258407658948,1.06436708186948,1.03759055150798,1.0736023710831,1.01420223989612,1.02470122788676,0.901513102129885,1.06666097644247,1.00800548486621,1.0736023710831,"5542",5.40528111052071,0.0588776318042239,6.54072565038552,0.0191434399690716,8.09259903590735,0.0343052205450066,3.26597133199805,0.454449748933246,4.77086834393507,0.0437631285418412,5.88991066627105,0.104859876897819,-0.808585329396649,0.788861261023657,-1.42226619961584,0.674394684393673,-5.69113421723946,0.488664709718185,0.493403796447308,0.875095135657635,-5.67793570468473,0.477695303296053,-5.67466222545752,0.442907240279415
