"","feature","id.x","structurePerIdRank","formulaRank.x","ConfidenceScoreExact","ConfidenceScoreApproximate","CSI:FingerIDScore","ZodiacScore","SiriusScoreNormalized","SiriusScore","molecularFormula.x","adduct.x","precursorFormula.x","InChIkey2D","InChI","name","smiles","xlogp","pubchemids","links","dbflags","ionMass.x","retentionTimeInSeconds.x","retentionTimeInMinutes.x","formulaId.x","alignedFeatureId.x","overallFeatureQuality.x","formulaRank.y","molecularFormula.y","adduct.y","precursorFormula.y","NPC#pathway","NPC#pathway Probability","NPC#superclass","NPC#superclass Probability","NPC#class","NPC#class Probability","ClassyFire#superclass","ClassyFire#superclass probability","ClassyFire#class","ClassyFire#class Probability","ClassyFire#subclass","ClassyFire#subclass Probability","ClassyFire#level 5","ClassyFire#level 5 Probability","ClassyFire#most specific class","ClassyFire#most specific class Probability","ClassyFire#all classifications","ionMass.y","retentionTimeInSeconds.y","retentionTimeInMinutes.y","formulaId.y","alignedFeatureId.y","overallFeatureQuality.y","id.y","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","sl1_1","sl1_3","sl1_4","sl1_5","sl1_6","sl1_7","sl1_8","sl1_9","sl2_1","sl2_2","sl2_3","sl2_4","sl2_5","sl2_6","sl2_7","sl2_8","sl3_1","sl3_2","sl3_3","sl3_4","sl3_5","sl3_6","sl3_7","le1_1","le1_2","le1_3","le1_4","le1_5","le1_6","le1_7","le1_8","le2_3","le2_4","le2_7","le2_9","le2_11","le2_12","le2_13","le2_17","le3_3","le3_5","le3_8","le3_9","le3_11","le3_12","le3_16","le3_17","mp1_1","mp1_2","mp1_3","mp1_4","mp1_5","mp1_6","mp1_7","mp1_8","mp2_1","mp2_2","mp2_3","mp2_4","mp2_5","mp2_6","mp2_7","mp2_8","mp3_3","mp3_4","mp3_5","mp3_7","mp3_10","mp3_11","mp3_12","mp3_13","px1_1","px1_2","px1_3","px1_4","px1_5","px1_6","px1_7","px1_8","px2_1","px2_2","px2_3","px2_4","px2_5","px2_6","px2_7","px2_8","px3_1","px3_2","px3_3","px3_4","px3_5","px3_6","px3_7","px3_8","id","ctrl_vs_sl1_log2FC","ctrl_vs_sl1_padj","ctrl_vs_sl2_log2FC","ctrl_vs_sl2_padj","ctrl_vs_sl3_log2FC","ctrl_vs_sl3_padj","ctrl_vs_px1_log2FC","ctrl_vs_px1_padj","ctrl_vs_px2_log2FC","ctrl_vs_px2_padj","ctrl_vs_px3_log2FC","ctrl_vs_px3_padj","ctrl_vs_mp1_log2FC","ctrl_vs_mp1_padj","ctrl_vs_mp2_log2FC","ctrl_vs_mp2_padj","ctrl_vs_mp3_log2FC","ctrl_vs_mp3_padj","ctrl_vs_le1_log2FC","ctrl_vs_le1_padj","ctrl_vs_le2_log2FC","ctrl_vs_le2_padj","ctrl_vs_le3_log2FC","ctrl_vs_le3_padj"
"72","1065.59403_21.6718","13917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13917",10137.7354098242,3322.14155084792,17236.0974123573,16127.9126213592,14650.920623483,9986.27316857899,7894.78951928947,5617.16308055628,2969.75812579147,9429.54303205574,1261.83451949975,3937.16058475617,3952.06507478352,2380.65735536252,9610.10330578512,5491.57331129932,1515.22734627832,4021.49956804344,2803.20596967022,3390.17514196739,3279.90812468063,4563.25057110223,3661.94787940726,3573.23544149887,2149.34951456311,6978.79837247714,3883.78455660805,3980.09651502947,5120.68818907356,3017.59650251491,4746.47684839432,3682.8200470267,8512.50878030665,3615.82142054165,4410.13043727544,4489.71255401538,2618.24311204408,4326.54756137105,7687.67184466019,9803.56534727409,5233.40632467225,3489.20753950522,4788.0239377383,3801.22268422728,9978.6564006944,3888.141976448,10294.3560348225,10358.2086694927,9316.20982466309,13043.4934460708,8161.64027208687,10634.258803072,6758.46072206431,3359.91542610572,12328.3332069175,10712.4637757135,13572.5810112218,15024.1011111521,9654.18176914779,15820.3737110628,14331.8028121861,13740.8721188765,17792.197857382,11868.4895444361,10899.5963783135,6583.17044022827,22391.8548036516,11089.7946942057,12727.0551342924,7267.50873786408,8654.12747994935,5621.3356982823,10705.5971710747,5749.14259245535,11922.7545981402,14055.2491519476,13530.9051530993,11605.6064138827,13516.3298713028,5101.69385879244,15062.9167653327,10968.4326556885,11518.0342512722,10653.176520664,16523.3863408102,14755.6253193664,16365.0067214339,20358.2755738443,23208.7730630875,6068.59102659849,11319.8870576261,15510.595813799,14280.0680872526,10741.9862459547,11813.6516389503,10836.7696903545,14590.1766640076,9625.54785020804,27969.1340568957,13372.8262264232,16495.7422074604,17131.7127606081,14208.368669133,"13917",-1.12232197938738,0.232512500291484,-1.66431725658141,0.0467083323867465,-1.31533481395583,0.0672152361194474,0.248539248916167,0.598383598207872,0.4150941715273,0.348552282653112,0.547939865862655,0.187788009158704,0.380907887916333,0.27469467675752,0.106476487089422,0.825254450752165,0.0291420815759125,0.944218613416335,-1.11088138424581,0.0596478932747589,-0.728705018985316,0.134499485343879,-0.200249692183398,0.655326016519195
"73","1066.59704_21.0611","13126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13126",9428.93330205363,8503.51505491903,9560.68058658651,10462.0609651628,8342.69480051578,10180.6769638129,9085.57252013628,8748.78719496195,53106.5977205572,10297.185217179,11980.5181421754,10390.7973440464,41777.5898714248,41656.6132969965,62595.2575623847,9941.19958686222,42679.2354368932,44903.024518677,46941.2597287972,43435.1397691885,10975.2803270312,50502.5028555111,10426.3793788679,10149.39776349,11354.4660194175,11794.4190871369,12610.0866499931,13617.5611565693,10906.8426032582,11052.7658205638,10053.5250186707,40875.5785421723,44088.8365430527,11112.6033725089,50462.1643987463,9323.59773275717,43685.8173707688,11602.5210292407,9650.6213592233,9184.08808812547,11236.6930015284,12323.4947394077,49606.9344758461,48551.1861371956,12139.6463704751,45444.328694304,9368.60459284204,9062.92779980856,9499.15331111433,10979.3715876017,10284.4595401974,53424.0448847993,34865.4536896895,35875.645631068,9469.68869462985,10734.1379563421,7854.0374479889,9044.98582450441,9774.97518878101,42421.2974404237,8665.40592567794,20960.8146816868,9300.77290480973,16805.6525392084,8568.39822188284,9358.15632179649,11158.4828285756,11100.4477150455,8081.22220253703,9015.68737864078,8617.1359223301,44193.2374906647,11635.578339471,9881.93730082265,9057.63384454839,10064.3644285881,12725.8879761016,10440.1072165737,9349.60515917814,11371.1857298788,63617.1122424816,9041.7955801105,8722.92909734002,11878.7632000324,10140.8799241156,10863.7053525805,44521.3095593727,11696.5935832315,9951.18624531002,9835.23444591256,9632.52587691826,9366.45389272398,9346.27663598537,10951.0517799353,9603.93244256464,9881.74843453783,8687.74130785844,9133.09960912874,43898.2844363421,10218.6075445875,9714.47368421053,8981.65524310525,9572.20902893842,"13126",1.7018055881271,0.286738408926716,1.80689443636516,0.0717127960216379,0.323877626569335,0.0187932363041832,1.19518728332874,0.332993065565779,0.113281910994417,0.179384030289964,0.566969859423514,0.499622668507712,0.676320606788217,0.386308118324235,0.154364660241329,0.508870936034908,0.659112587555864,0.383706511227876,1.5710665526795,0.090547532657912,1.4127583591576,0.120087322835905,1.22292422134414,0.163292956658428
"74","1066.59709_21.1989","13236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13236",44533.2903237449,48340.030783803,49314.9729861478,47719.6473443746,42864.9677639563,52988.6098852604,47519.3660765277,43269.3007084755,10357.6361333896,41169.3305290041,47730.724452855,44542.9739984377,31694.0120703228,19982.2636688809,27876.5564069646,43610.1807477794,32554.4902912621,11491.5174016785,24559.152892562,26649.9386334494,12264.0042922841,11964.1704740148,49598.6583773349,40549.9859987841,44005.0485436893,51539.4253313459,4567.72145965852,45716.8806969941,45232.5684959684,11496.0855070769,44551.6355489171,30105.4368932039,43768.9548517163,53999.6468063362,30283.2249063527,9986.80677928054,5477.67843085804,50757.3328628379,35423.1262135922,45524.8241224795,57863.4062385637,50669.0878254865,29313.188553909,12471.9586582843,54107.8216421269,44185.1659345122,43704.7255758965,54890.4293723506,55257.4916678742,60123.0388137069,53211.3075510163,30227.1317562672,50395.1277271217,51244.2853290183,52341.5164214199,56797.1903373944,50855.2881099483,52131.2460777437,48949.2103559871,55994.3325511808,48849.2433880147,52320.6447787742,50560.2164936949,74089.608849888,47930.0354532562,55078.3947231898,55878.0017388784,57451.7413889061,53023.2922897031,46574.3300970874,49416.9269734065,51765.5451829724,59399.84369769,55078.3947231898,52766.3751560666,59203.3290443327,51543.1545929798,56250.1519379252,50720.2709415218,46820.783018326,36683.3524745442,50332.8160703749,52796.4306853864,53098.2810061414,51367.6420042406,55061.2595809913,48390.6301344287,58294.6704815791,49266.1681429621,47830.2355374275,48284.0222752897,50347.4321680387,46601.0566132896,48971.1124595469,48297.8642699221,50967.4556213018,52357.7187384478,45893.5695372589,54689.3526094883,51667.7376929986,50911.3873275422,50645.5009089854,51777.0811815741,"13236",-0.496198689240594,0.25055122987628,-0.844983760276825,0.0434167874989413,-0.415047388687903,0.407894182354081,0.0673703519366511,0.57134389138968,0.0795367728073465,0.284785667923178,0.118940494625366,0.055718849471582,0.145326673917414,0.0298306571823413,0.222831694096981,0.118984136857429,0.213889784711334,0.00426053742356708,-0.535428466729977,0.148957900939258,-0.156501242556975,0.526733611583681,0.114631575871189,0.411031280699763
"75","1066.60636_22.4202","14305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14305",15537.6883098134,20522.1552305142,14254.9453629606,12027.417190177,10623.1424453883,11512.1800529567,12589.7313850214,9364.84439779585,2295.37357534825,19614.1482789056,3764.24265673852,17109.7310568017,11652.7801102073,15776.5008800318,18193.8848993019,6330.68229704606,16994.0412621359,10261.5742348198,11942.6526518495,4280.08428283568,8582.69034236076,17129.3189605939,11551.1764037927,7268.3398242479,20018.3495145631,21069.6418643999,14065.4880954725,9433.69421715352,11427.7346963962,18750.4076500175,15319.2195668409,11005.3403746966,4088.08801527933,4886.58775677057,4994.8554582983,9312.96318536394,6779.53516137497,10922.3392526751,13036.3106796116,12437.7910754294,6164.60553677911,5054.31236543852,16119.2065956527,8542.21208021646,12438.7070018646,16636.2110081583,7747.6138179343,19091.006426911,14378.7161280974,14185.3480911814,6299.60961185233,26857.1201637444,18582.1898187456,21659.1893203883,13396.5274195995,10230.2132567259,13470.1815660068,18858.8240614271,4263.07853290183,11904.2193184509,19878.0470929584,13281.2471281405,9464.18044861064,10023.8882561613,12684.8750954511,10504.3461424442,20273.5618026373,10611.4740584998,15693.649280703,7160.59223300971,7546.27775432672,15420.3061986557,12814.2754017409,19744.7235603646,11489.3749883532,10115.749210434,31880.8857356236,18519.5847030044,10249.0731542109,9528.4400528523,33338.3039308548,10238.4358740546,11480.7288771791,8084.68204390214,13399.418591675,11674.659555442,19375.5504107543,11497.2198289719,13023.6999574517,8787.18521284541,9763.02323441904,4129.4815054081,11450.1197831295,19054.8300970874,7621.74278573488,11420.6686965014,6536.92201879487,5819.08120035304,17977.81002247,15196.3934391172,7565.02848748084,5149.5089931536,6324.85919513249,"14305",-0.167928266341107,0.90520244209412,-0.274196031976857,0.557055999317992,0.24132350129688,0.541212652839337,0.138056766885146,0.811569271232829,-0.318854050142756,0.35311491101634,-0.486046745766596,0.199261140370425,-0.0705874271969147,0.846691986258665,-0.171567546036534,0.621743176066904,0.291172446679484,0.466465010565744,-0.710844366615146,0.041936956622411,-0.322013223571895,0.325297742246902,0.337133217349966,0.308739592437949
"76","1067.48792_18.694","10666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10666",157.894995849424,0.941383267454781,450.007001259292,957.028226727584,0.97999469053398,1.08605472197705,1.01776324858701,0.968643400682236,223.846348670325,0.970516985596515,238.015795211453,572.310891641558,0.968643400682236,158.645284732868,210.344116585092,1.06756868415617,2232.02346278317,2426.93193598815,2439.32827168419,3749.92564572266,2205.61937659683,2979.97444317533,2623.22227899847,1389.11551003113,1.03883495145631,1.0409902106917,239.07258709309,1.09553991605545,200.809217130163,986.587811439935,0.918969380134429,1217.1534056432,1440.38155870338,1.05633111905979,1564.53451570981,0.966777035748358,1323.16688533193,210.560619528106,0.937864077669903,0.96491784914115,1.11254386153747,1.04970142584393,816.320500373413,1141.29217730384,1.10763196810905,0.953911181660453,0.925751441980439,1.00957199507726,1.06984495000725,232.872471373032,1.04315443150395,0.93611433125634,0.953911181660453,782.555523193096,435.509640473301,2142.4927551427,6691.33829277519,4553.971981247,2900.90043149946,1810.10886272146,3082.63525276197,4539.75433558141,201.087400959714,1.60819641523525,0.93962037744082,0.957552064033202,1.06984495000725,1.06530208397749,0.915615477287223,0.937864077669903,0.948501477416631,0.918969380134429,1.0813734516237,0.957552064033202,0.963065799526676,1.0075447420751,1.10276325616131,0.987711184160232,0.972397832467826,2251.47498132935,1.01983187307601,0.924046559030199,0.932634352329736,1.04750998236618,0.961220845887736,1.10034491568728,1032.46209858103,1.10763196810905,0.999516497118323,0.989659332452462,3213.87678124021,434.124978773672,0.930904047408902,0.995550161812298,0.993578775353263,0.989659332452462,1.00552561433547,0.930904047408902,1.09553991605545,1.10519225011762,0.943152784874808,0.999516497118323,0.970516985596515,"10666",-0.158924613082731,0.970102150512516,3.6745578476136,0.000841724632248482,0.0585342914534193,0.981554471075511,1.06735889496019,0.71022900293949,1.21878920002283,0.703530914069538,-7.60928222839387,0.286888219950313,4.0454264515474,0.0156401274849352,-7.5388093142365,0.289581689522682,-7.61803481804981,0.275966379445089,1.87506290826493,0.228184382237721,0.322899699637343,0.864827055043111,-0.10873373660165,0.976533114478838
"77","1067.4882_19.0164","11038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11038",6908.95528205869,5549.45436164593,2735.52191574928,8223.12721302113,1991.34921116505,2996.42497793469,4501.56684850036,2886.55733403306,6512.41114394259,3698.64023210832,7023.53889665954,11909.526280549,4864.52715822619,5143.74569919945,3528.8879884458,4633.24808923776,4555.63754045307,4339.35004936646,5872.84090909091,6759.52262319106,4363.70385283597,5904.08095374072,5793.19372054732,1808.99209668208,6043.94174757282,7092.26630544253,5728.9893262963,4819.28009072794,5074.97725028797,3122.38115569072,3432.35063480209,4015.03824711772,4484.74131253647,2572.16627491058,1898.38089595597,2480.74987373029,3867.79309892417,1400.78015144868,1696.59611650485,1774.48392457058,2030.39254730588,1622.83840435471,3528.55221885932,2189.01895989177,1470.93525364881,1514.8109564768,740.693728728549,4902.48160809517,1830.5047094624,5300.8406024941,1919.40415396726,2288.79953992175,5439.2015578279,5481.23371089536,1908.04966246966,13394.6436285097,13647.0533350145,15539.2131492488,13993.4530744337,12438.2403719889,16850.201428412,14037.7132587267,9794.84041959603,2293.28808812547,2804.76682666085,3812.01476691618,3272.65570207216,2317.03203265104,1968.57327616753,803.937087378641,1283.3224989447,3103.35959671397,4866.18053230666,3581.24471948418,1694.99580716695,3611.04035559715,1336.54906646751,2331.98610580231,2379.45749604877,5926.08008272534,2379.26775988634,3064.13838974414,4970.00846356516,1871.90033848836,3245.081575717,2117.06361778232,3949.40875653473,2152.12891403588,1498.27522918037,2773.0254495318,5606.32833542123,2431.51960205249,1452.21031395789,1283.26415857605,1305.56251081419,1393.44034009307,2963.28398544662,1230.65515067457,1549.09344130241,1440.06550190325,1392.09351047522,547.934943720265,3155.15072017427,"11038",0.402607415457526,0.689505198058458,0.138421816400843,0.851407652250784,0.173217199927436,0.749494609793081,-0.379040683442805,0.510126712615735,-0.951969987963457,0.108029236498762,-1.38848123953387,0.0352138469063405,1.61575483854844,2.78796915241505e-05,-0.947821845436378,0.104268245582841,-0.644024914095761,0.20264495901915,-0.675131049810251,0.219266464438572,-1.26710364683922,0.0368829580531334,-0.300119084438451,0.555767350077649
"78","1068.49091_18.7336","10668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10668",0.932634352329736,0.941383267454781,174.040496404923,411.525299828669,0.97999469053398,1.08605472197705,1.01776324858701,0.968643400682236,0.948501477416631,0.970516985596515,1.06304508803686,0.961220845887736,0.968643400682236,0.978084369499801,1.03668859825082,1.06756868415617,1743.20833333333,1609.45026328781,1885.73656021825,1705.02804542957,1625.69359223301,2323.26270702456,1595.25560665418,749.589198798843,1.03883495145631,1.0409902106917,180.24587132476,1.09553991605545,1.06304508803686,834.24704643818,0.918969380134429,743.227973300971,0.913947689532601,1.05633111905979,1059.81410060393,0.966777035748358,0.968643400682236,182.761886051081,0.937864077669903,0.96491784914115,1.11254386153747,793.154397367673,377.841515663692,506.384141731657,1.10763196810905,376.222570046882,171.078866477985,1.00957199507726,1.06984495000725,421.607868963906,1.04315443150395,0.93611433125634,0.953911181660453,526.380555555556,235.982721480583,940.009213864833,4485.09570041609,2937.09252833253,1861.1478425027,309.39844789357,1577.36340810177,2900.42520195657,0.961220845887736,1.60819641523525,0.93962037744082,0.957552064033202,1.06984495000725,1.06530208397749,0.915615477287223,0.937864077669903,0.948501477416631,0.918969380134429,1.0813734516237,0.957552064033202,0.963065799526676,1.0075447420751,1.10276325616131,0.987711184160232,0.972397832467826,1479.54070201643,1.01983187307601,0.924046559030199,0.932634352329736,1.04750998236618,0.961220845887736,1.10034491568728,327.396626213592,1.10763196810905,0.999516497118323,0.989659332452462,1572.03793454432,161.210989700616,0.930904047408902,0.995550161812298,0.993578775353263,0.989659332452462,1.00552561433547,0.930904047408902,1.09553991605545,1.10519225011762,0.943152784874808,0.999516497118323,0.970516985596515,"10668",-6.20924930409585,0.618929822173582,4.48409751273042,0.000974173424001533,0.978288303899905,0.772588105747212,1.61588636524547,0.651853368188738,1.55604717808881,0.655469607579012,-6.20101866991852,0.35784595639369,4.66556439995381,0.0417003713262264,-6.13054575576114,0.357946235450882,-6.20977125957445,0.341768133498138,1.7508065713741,0.471095977866976,1.91323162043176,0.18882748707718,1.00729776955372,0.575616141931769
"79","1068.49101_19.0195","11066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11066",4487.83650341069,3159.28224557824,3887.04437990007,3084.33152484295,2904.70426274272,1510.70211827008,1589.74619429292,1773.58606664917,4397.2528493035,2246.74682165593,4968.67274148428,8254.96462448388,1471.36932563632,2424.67115199001,2075.45057369815,2789.55697170006,2338.54733009709,1448.93045499424,2384.38377597689,4050.03330280271,1828.50916709249,2323.26270702456,1595.25560665418,1560.49370866417,1851.20388349515,4303.45353099948,1618.24356525335,1838.31597914105,1865.64412950469,958.880331032869,1120.22367438387,2549.94618476942,3022.42500928431,1827.45283597343,1179.32715388732,756.793063583815,1347.38297034899,1084.34775974212,1016.64466019417,1130.88371919343,2098.25772285966,904.737658934882,2094.37958413584,1290.37989415884,500.317359994856,478.291066484551,171.078866477985,2114.04375769178,1779.15215186205,3570.49164028807,404.222342207779,1053.12862266338,2072.84899774816,1779.37998921251,1403.35239684466,9141.08568013588,8429.33614928761,11504.1688508251,9003.75566343042,7466.28185477795,11188.6106461332,9461.57194471207,6434.4123423725,1540.49134615385,2654.42756627032,1955.3213147558,1464.61773655992,928.517296394781,659.2431436468,569.189708737864,404.91528070916,1588.89805825243,2855.9072857382,2608.37182242644,1290.50817136575,2648.83512691543,696.284719940254,1076.60519073465,880.797956649356,2705.72861492503,895.616350935354,921.089610041302,2943.39401595265,2515.07146766119,1469.70667336235,855.188068472151,2337.99594846901,1140.86092715232,866.081044753027,959.969552478888,4055.53415674914,2232.15216508546,221.275892069096,264.617233009709,427.536947034509,419.516591026598,815.07906298033,522.981893834321,884.538928223174,717.159251101322,776.12042667348,692.465029203574,1033.60058966029,"11066",0.354140878798743,0.775918266488211,-0.353542591558012,0.514057842211116,-0.531747623853475,0.411161797283074,-0.613031465105293,0.206555693221143,-1.13928063217464,0.0727231023855809,-1.93398812473833,0.0060936129584713,1.69722961971462,5.39756904423583e-05,-1.13804739819868,0.0388458735090127,-0.714820382125992,0.114299166475216,-0.808945144272682,0.090547532657912,-1.3694952333985,0.0126211697681541,-0.659806933987799,0.133819546766282
"80","1068.62161_24.5873","15129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15129",3500.1767242935,6618.86575347456,5813.24649632368,3298.31624785837,2702.82535649272,2863.92630185349,6160.5209436972,2073.86552086067,4373.54031236809,4493.49364331186,2159.04457380286,11803.7919875014,5057.28719496195,6405.4745358542,10449.8210703683,8648.3739103491,5475.52588996764,12947.889172289,4930.49097328091,2153.76946327166,2464.42050076648,9992.9811536265,2673.10458184296,7072.20699692342,12725.7281553398,7145.35680618781,6954.37627759507,3719.35801500827,7695.38339229883,4978.27857059305,3052.81628080657,12681.1312955097,8194.4549843493,9401.34695963209,9718.09034095253,4237.38374768505,14200.3122540016,4235.85665782898,6037.96893203883,7817.7644137416,9592.35317417605,4821.27864890117,2400.10618686372,9397.66711761897,5015.35755159776,4289.73858392705,5966.46804356393,14073.433611377,6054.252572091,9867.16124577765,8795.87816644127,3796.87972757571,4677.0265236812,1401.20366774542,6629.66408146238,11649.8720879029,7615.72601185222,8857.0653217173,6527.4905609493,9316.44229651476,7847.40698582747,5780.74181056844,4596.55808503515,7339.80843913368,10777.4457292462,8189.94280367598,9107.59005941168,9974.42341228124,6506.36358160301,3681.11650485437,7821.34318277754,2801.01867064974,3461.47641864747,7748.51130215667,6545.95823938282,13501.0995438063,7481.14592979836,3327.59897943582,3750.5384398284,10559.6650772678,10647.0447549136,7639.09290350265,3870.43256216841,8317.22925998743,5582.77067291597,10381.7542795095,6093.45621732636,7899.63119655372,10175.0779406645,8741.66088355259,6051.43560131538,10254.5452028499,8386.5145631068,3852.77912621359,3260.92554070941,4053.64462572528,7502.22660855692,4886.31534484933,11229.2841395684,8933.2689577007,5277.88298415943,7288.47429698681,8701.65529285835,"15129",0.69273878805514,0.429610809384396,0.530450327082681,0.533804682440124,0.678909518165581,0.325855197921392,0.933591296236477,0.0282357892852738,0.827603104190381,0.0526867173131289,0.809031141890858,0.0404421309974865,0.912859733809954,0.0140663352578078,0.94058498194479,0.0174423583055696,0.557618070634514,0.329477293997969,1.0565944266405,0.0479413055914565,0.577756003741568,0.168479456259227,0.743308952820501,0.191100280080909
"81","1068.62162_23.8411","14833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14833",3442.35339444906,4142.08637680103,3435.67276678718,5136.68746430611,9858.74658677184,3688.24183583407,3225.29173477225,4095.42429808449,4245.49261291684,4010.1761844848,9854.42796610169,17301.9752259792,14132.5072159538,9829.747913473,21656.4248174597,11316.2280520554,7519.39037216828,14510.5654517031,4868.28965738586,15971.0289430299,13901.3175268268,12765.2955454026,6344.83330494521,4764.31392199849,4153.26213592233,20840.6240180478,7954.8375509561,13672.3381523721,1300.10414266908,18307.0879635045,9851.35175504107,8033.99647299757,6213.01639344262,2696.81334695963,12771.1056111918,14066.6058701386,3981.12437680399,6853.07784157018,6985.21165048544,6042.31557132188,4098.61158590403,12113.5544542389,5724.50210290476,5771.2369290148,10687.5408602842,22903.4074716675,19922.171031419,11105.2919458499,5687.29575423852,7148.66884068747,8099.05100619664,11233.3719750761,5245.55758795083,7711.26607335491,14062.9238091626,4938.46205623938,3580.25696633464,6123.15587507844,9514.80474649407,10123.0365961294,1270.73395826359,10609.6768694879,9987.08458877357,8861.16224794623,12543.932038835,10456.4685392426,20968.961020142,3625.2229917754,10163.3317978882,8296.34563106796,6419.45799915576,4306.29051530993,4154.63680113827,15177.2002149263,11007.8420885899,6197.40770850392,10144.3191934279,4770.64501949392,4420.52054639873,8391.32147986442,3714.22768174284,4484.39795097356,3248.36544916447,20237.8928593145,6339.25147862962,4138.39722789985,8260.66170649739,6481.86227737414,12593.9078636909,4224.85569023956,14749.2362198559,2770.15807154195,5157.20842264532,6698.06148867314,11346.6696145343,6225.94686045844,5660.10368309434,8729.08725255327,6457.11226523085,4791.00840425987,4553.54164537557,15672.4186748153,8555.10722803328,"14833",1.3185843553359,0.215834730749213,1.12310528369557,0.0934189107344655,1.23167442104318,0.241013204508399,0.667691839870457,0.438172053295815,0.790086410650393,0.174227392637047,0.711892244290393,0.163467892171098,0.600733951931608,0.263250513374727,1.13539379037434,0.0750734395021266,0.700776400875479,0.214615170877063,0.734472210352945,0.204400923254845,1.23689526759354,0.0936755618905994,0.924909365507207,0.0299242914509293
