"","feature","id.x","structurePerIdRank","formulaRank.x","ConfidenceScoreExact","ConfidenceScoreApproximate","CSI:FingerIDScore","ZodiacScore","SiriusScoreNormalized","SiriusScore","molecularFormula.x","adduct.x","precursorFormula.x","InChIkey2D","InChI","name","smiles","xlogp","pubchemids","links","dbflags","ionMass.x","retentionTimeInSeconds.x","retentionTimeInMinutes.x","formulaId.x","alignedFeatureId.x","overallFeatureQuality.x","formulaRank.y","molecularFormula.y","adduct.y","precursorFormula.y","NPC#pathway","NPC#pathway Probability","NPC#superclass","NPC#superclass Probability","NPC#class","NPC#class Probability","ClassyFire#superclass","ClassyFire#superclass probability","ClassyFire#class","ClassyFire#class Probability","ClassyFire#subclass","ClassyFire#subclass Probability","ClassyFire#level 5","ClassyFire#level 5 Probability","ClassyFire#most specific class","ClassyFire#most specific class Probability","ClassyFire#all classifications","ionMass.y","retentionTimeInSeconds.y","retentionTimeInMinutes.y","formulaId.y","alignedFeatureId.y","overallFeatureQuality.y","id.y","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","sl1_1","sl1_2","sl1_3","sl1_4","sl1_5","sl1_8","sl1_9","sl1_10","sl2_2","sl2_3","sl2_4","sl2_5","sl2_6","sl2_7","sl2_8","sl2_9","sl3_1","sl3_2","sl3_3","sl3_4","sl3_5","px1_2","px1_3","px1_4","px1_5","px1_6","px1_7","px1_8","px1_12","px2_1","px2_2","px2_3","px2_4","px2_5","px2_6","px2_7","px2_8","px3_1","px3_2","px3_3","px3_4","px3_5","px3_6","px3_7","mp1_1","mp1_2","mp1_3","mp1_4","mp1_5","mp1_6","mp1_7","mp1_8","mp2_1","mp2_2","mp2_3","mp2_4","mp2_5","mp2_6","mp2_7","mp2_8","mp3_1","mp3_2","mp3_3","mp3_4","mp3_5","mp3_6","mp3_7","mp3_8","le1_1","le1_2","le1_3","le1_4","le1_5","le1_6","le1_8","le2_1","le2_2","le2_3","le2_4","le2_5","le2_6","le2_7","le2_8","le3_1","le3_2","le3_3","le3_4","le3_5","le3_6","le3_7","le3_8","id","ctrl_vs_sl1_log2FC","ctrl_vs_sl1_padj","ctrl_vs_sl2_log2FC","ctrl_vs_sl2_padj","ctrl_vs_sl3_log2FC","ctrl_vs_sl3_padj","ctrl_vs_px1_log2FC","ctrl_vs_px1_padj","ctrl_vs_px2_log2FC","ctrl_vs_px2_padj","ctrl_vs_px3_log2FC","ctrl_vs_px3_padj","ctrl_vs_mp1_log2FC","ctrl_vs_mp1_padj","ctrl_vs_mp2_log2FC","ctrl_vs_mp2_padj","ctrl_vs_mp3_log2FC","ctrl_vs_mp3_padj","ctrl_vs_le1_log2FC","ctrl_vs_le1_padj","ctrl_vs_le2_log2FC","ctrl_vs_le2_padj","ctrl_vs_le3_log2FC","ctrl_vs_le3_padj"
"1","1000.19367_8.8657","8807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8807",358.638515505247,3020.84515677001,207.551856141028,750.499489948995,485.602353320438,1165.73283858998,465.194088319088,1567.96541169268,5756.06345945329,1539.7636765889,3910.67191249512,7071.35106382979,4042.93276515152,9116.20368634802,2045.12393812603,10308.0788804071,4211.44610663598,26977.3261370664,18533.548553719,8738.06126482214,15422.3787302685,15883.4231644508,4515.04154894466,30429.796037296,24481.5558847127,57344.7435419772,43992.2018348624,30329.5920993373,24573.7549407115,3838.69635582343,1127.65007974482,6926.9265294454,2433.98418491484,3053.30395457846,1296.48278363748,3203.78366102135,1482.7682379349,7685.09838646202,6732.53046594982,5719.26239799121,9586.82490224829,7151.59414923162,4508.62269099838,8656.22150207516,16272.6298905883,4192.24268269044,12856.1602870813,6160.91328175371,7463.75788497217,8070.08212121212,20391.7692864904,7185.64121709912,1.01224364860728,0.965434693758393,1.09881711855396,1.06608639587363,1543.13708202717,1.01020283479961,0.945397369925672,555.52371541502,1.0460555450117,1.05708988620381,238.072995144818,1.00012097018085,1.02257266542981,601.791423552293,6585.81534090909,1349.81535891232,981.952734896131,162.283808231569,1091.48233931673,526.3940807327,1322.34791524265,427.70946579194,565.59113865932,0.959886218506908,344.698502535078,1214.06881961297,1425.06970849176,2866.70832619985,223.159591509812,350.64398404477,601.901673640167,645.211888111888,2915.26170798898,3975.76252319109,991.356238162879,684.108618293022,6315.5771571133,1462.27891156463,4109.44482134781,326.836860976174,1146.55109856884,1.08926218708827,0.94897842056933,789.288852609268,2408.02752802753,283.288230467147,1.08454676636495,"8807",2.44856847470307,0.0197931249142798,3.95847785183242,0.0136481923558091,5.17173171641232,0.0227450165801396,1.54222311566046,0.108778057581366,3.04724781868529,0.00546104037618757,3.24006219936826,0.0332817733947274,-1.93031227268422,0.178641787402332,0.130191346349197,0.98092246870275,-0.659501982915068,0.442663850500321,0.00143280286984008,0.999326825042221,1.39513553629437,0.133527573702034,-0.694466476865626,0.533684983967905
"2","1000.42974_16.9881","11204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11204",2464.36033486617,5643.93121971157,2970.19365630831,2475.53705370537,3933.85880077369,2660.54815314556,2423.93421393421,3503.37526782981,1755.12754665297,3628.25522928399,2108.51470506167,3325.12346872985,2654.57733585859,3454.735395189,1840.716368708,4474.1652209114,4272.7573200358,3289.8951481419,4132.80102157943,2852.77766798419,4237.10565733379,1874.52120014373,3417.65470057061,3418.77505827506,4411.57841140529,4058.79626179831,4777.08423686405,6798.89242745931,4339.62055335968,2258.00239968748,1782.72089314195,3329.68953687822,3308.09721300597,3147.18459100812,1722.79954238518,2727.40055804296,1002.12121212121,3538.10142238714,1623.86738351255,3064.86788791874,3896.35233382209,3456.39974078874,6477.80010045203,3593.91125135028,1725.77017815203,2282.01589455321,6463.87018683071,2616.17601547389,1632.02597402597,2206.67090909091,2505.30303030303,1178.05830377699,1515.32874196511,1772.53809774041,1897.65716374269,1604.46002578981,2074.43410397074,1366.80443548387,1220.50800457404,1967.20750988142,802.63841968748,1016.92047052807,654.885289357665,1038.12556704772,2451.10667903525,1735.55775142732,1992.75978535354,1354.57829243,1046.87002096436,1702.2973202171,2061.68886315383,774.680828810493,951.261676919572,727.106091846298,793.34595959596,478.695257169395,2161.18942341705,2005.27129612345,5038.23107500864,4005.65399760315,2330.92511013216,2479.7085789129,3988.56821351591,1273.02430902431,2588.30700948883,2234.32127396413,2339.91388494318,1559.26383097025,2108.88158695388,1663.7257266543,908.265829941203,3205.25792273884,2669.73090102802,2400.73386034256,615.507403581267,1631.05172710088,2022.59629259629,1353.92972275951,907.223370064279,"11204",-0.166022615022029,0.655164766556804,0.0765287325698406,0.798495791100803,0.581415253062775,0.0782852754379776,-0.435751543465754,0.262207383047946,0.0702599443050631,0.869046113542929,-0.272889465778724,0.642919281201032,-0.958437616073482,0.0217910719986631,-1.23910935186772,0.00783876698875004,-1.61108516576869,0.00229005484645416,-0.0519335479708848,0.94366345577739,-0.829278465632679,0.0263121629705721,-0.816523149628795,0.0404428248921204
"3","1000.57505_21.1626","15290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15290",2981.99298431789,4676.56565656566,18840.3043170559,10368.4818481848,6245.13410702772,7942.60077584753,4655.15281015281,4840.54912764004,918.233664326885,4833.23947438992,4559.37468608739,5287.7885235332,7219.44823232323,8916.81255857545,6315.66977304425,6028.98305574832,677.806035033883,6160.53550345758,7062.29740587695,11208.5079051383,5987.9600184353,6095.90729428674,31492.620907429,7856.05215617716,4314.63185829785,25761.4971435668,11979.4856825132,18084.9900276652,15587.3418972332,910.306239187455,4974.74066985646,17300.7718696398,15452.4165007742,5055.36310820625,21666.4880852726,14205.6582960223,15644.2255892256,3875.55040197897,14557.6963180189,10096.7014780574,20668.75,16133.947417145,2332.74624700039,4243.50389447951,9228.41868591396,1629.24823932287,4083.83230804283,10171.5303030303,8325.7866419295,23650.0606060606,19553.3411807316,16914.6537240993,2104.45454545455,21355.4154259357,4911.7125199362,2849.64893617021,19848.0472831766,17567.4272971652,7205.81875357347,13909.8781291173,4524.19023217562,34841.6826492776,11239.2600033484,7815.94538196335,8744.01886209029,4706.65004078048,14541.1963383838,6490.92579790299,6472.82065942443,5528.49332881049,26095.5767869781,5937.00729308005,12234.543745728,7116.09372071228,21029.3617998163,9925.22349936143,1161.99268954133,2842.77300728019,4071.35557091831,2815.75301032928,10493.5776264851,6731.34071560398,5116.47869912514,1899.62537462537,4049.98683807775,10145.9659863946,5107.49082623106,3200.35223797609,5514.68510405257,8391.23129251701,2669.83039348711,3203.34547767754,23330.981656924,38723.2707509881,20042.4242424242,8973.62605258636,16408.3583083583,17154.2992790575,3575.75068870523,"15290",-0.458036088506053,0.477406499959828,0.338100119775925,0.703206508935787,1.00075213191769,0.183929624644771,0.65296707677948,0.373462558149014,0.422219968451818,0.525951638105226,0.670518983296478,0.40831494262625,0.567804980678274,0.459186251334346,0.617593100693798,0.468989668991513,0.639710572915757,0.308740172101169,-0.672872193491149,0.497677956414269,-0.563254887746787,0.384750069632927,1.11788015407244,0.151940534654196
"4","1000.57614_20.9851","14979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14979",20130.1585897889,21422.9958544987,59106.0027021811,22384.0144014401,23357.9529335912,12159.3186034745,59185.1074851075,10203.4159779614,39226.1570507333,31338.4587020649,68201.4537641609,81832.7917472598,79814.779040404,30445.8887847548,82318.5970584506,109200.613000231,116385.59647104,69321.1306010007,81280.0017217631,84036.5777338604,66595.3364442908,9912.28590250329,71742.3522242535,67643.1818181818,86476.3253718447,88075.7762046697,78891.7625799277,83510.101010101,148793.214756258,28208.8816340198,108440.063795853,81540.5231560892,72086.894492369,110255.16603948,90753.7948546236,30932.7136460969,48166.7704826038,28632.0346320346,33296.2854349951,30016.4555156081,118597.812805474,29512.571745973,25782.0135052179,19346.7678662801,26559.0536747437,32755.9023066486,92677.3752563226,31854.6615087041,31904.26716141,29933.3606060606,130255.795001811,28736.3916371103,30559.6357514539,27920.3713434927,72510.9416533759,30575.3578336557,34123.9550679206,128497.80058651,89245.5117209834,30945.9387351779,31747.7857911052,32769.7864723181,28891.7266588537,79139.5723704107,145818.862090291,115980.488110923,85806.6287878788,117739.716557207,119330.156915063,28829.6811397558,87573.9046516117,103670.935097241,80395.7393483709,154967.197750703,92067.1749967205,27788.706025775,22157.7968399953,23458.278887437,20537.7693282636,22760.0410888547,24280.46989721,23231.886646425,27830.876759224,27596.8764568765,25700.866238139,58358.2220160792,40084.8484848485,82808.3097025299,95463.1130582938,108699.474335189,25333.4746720941,25703.2616238723,102034.159779614,32351.0869565217,28270.0671487603,91289.6431231025,27154.5482295482,116300.334095305,122336.875245966,"14979",1.19638531181543,0.0361230376491469,1.31442529629883,0.0180403572937899,1.7695666566951,0.0159126094832642,1.32322468839843,0.0490968896781408,0.451646274799083,0.575332925065507,0.922769798158652,0.323417320217938,0.963081436962303,0.209183086265616,1.48460712218156,0.043648391283009,1.60752034282534,0.0159469335350114,-0.28010988744772,0.746622065963797,1.02555442168553,0.112529362763099,1.25870957317361,0.0909768421467124
"5","1001.5788_20.9986","14987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14987",6679.50831269897,4956.54171775559,6003.15286624204,5613.86318631863,4965.83043197937,3790.02614268848,6220.43188293188,5336.54851545761,15701.7862238201,8184.35941271118,6983.47452424801,5753.66827852998,7570.19065656566,7642.98219306467,8764.36763027767,11694.6015498496,16226.3297532285,21102.1813684151,9215.52944214876,15587.3418972332,7463.51682221454,7340.63690262307,9581.52456927594,28464.0967365967,7060.77053632043,8032.37115002484,19454.0227967751,4731.88444959146,5975.69235836627,7079.44193314359,6242.68771929825,20817.6500857633,6292.51658925017,7812.83389450056,12558.8118756627,6652.1964830316,6731.84203142537,6137.29521560691,7462.03160638645,19070.4987730411,24335.7862903226,6612.77541196075,6723.25520397344,5348.09341065439,7440.13433006817,7398.38954577761,6837.78195488722,7771.76982591876,4734.51144094001,21405.3090909091,18625.081492213,7720.65459523365,8012.92072237527,14346.3595492497,8043.34130781499,16503.0174081238,8796.63727795193,8123.04099462366,10834.2538593482,8832.82707509881,4281.5053457329,10537.0719856796,6349.5359674089,15291.8496340652,7376.83920841064,8214.07428320472,8535.77619949495,5975.57639128932,7399.31008195159,6578.29008367255,18999.8777584765,9346.27600633198,30016.5442014126,22439.2502343018,7451.92083169356,7071.48177174039,3291.01285225799,3872.67376018916,4798.17922571725,4742.61884380528,6992.77533039648,5361.05316425552,6799.95847597312,8436.53912753913,6023.86195286195,15226.1069882498,5566.47017045455,3922.06338615513,6315.5771571133,4613.8478664193,6540.89750113071,6443.98363405043,7058.17745078277,4632.63208168643,6960.75671487603,6509.99914074583,13389.146964147,5898.36527753356,6774.07910271547,"14987",0.730705014179152,0.0475776147255203,1.40012610576144,0.0337273587427607,0.732941406472588,0.353355448354599,0.767986022619434,0.20261919206176,0.932167511251395,0.197249630233118,0.966560137144269,0.196964678206549,0.938445400870466,0.0164549201501911,0.611504298433914,0.107546201143907,1.32706099803779,0.0684964453475695,-0.088248417598252,0.832942095571846,0.37875844250277,0.36351201611402,0.404550034545592,0.192626746624152
"6","1001.58889_21.7857","15671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15671",78112.8139370357,91648.7154784843,128190.664607862,57170.5190519052,63421.4796905222,93611.8794625288,137577.538202538,106589.256198347,111252.439650745,130918.711450791,87274.9762821586,101896.537717602,107414.867424242,118085.004686036,7010.65550906555,108626.879481841,59852.4293568597,74777.9501883398,182583.448117539,77958.4947299078,105070.313400161,111203.766918194,80499.4626336491,88976.8006993007,59698.6669135345,8776.77471435668,79811.1398387545,31914.688284115,67479.7924901186,72021.6948490429,227428.771929825,142755.002858776,150592.485069675,65858.358090711,202454.322227803,154288.041009668,145771.520763187,130238.573115197,218419.322254806,232224.13399532,116577.407135875,162462.013207431,134538.925163235,110552.959235886,118682.219167096,136002.164502165,113209.557985874,115030.722114765,220159.894867038,125966.636363636,187847.820837861,136737.072988613,125619.436792164,186328.89589537,128122.076023392,112685.332043843,56898.4554597701,131932.490224829,110800.571755289,212079.347826087,89741.1052065541,108034.586370029,136384.45225738,127315.399504022,129559.956709957,122308.582721626,112425.473484848,93458.2814840419,112397.242868941,117693.15355043,128403.429196423,71326.3511985527,130727.842333105,127796.282411746,37818.1457431457,105107.540926506,71454.751798137,46216.924895775,87476.0369858279,98607.9723791588,73558.7872113203,131516.104066202,125055.502726005,164413.952713953,130579.43067034,125162.894248609,121644.205729167,10609.6135668613,172050.930996714,188562.399505257,55172.7555404794,150987.537589637,12820.929920043,135068.511198946,189036.50137741,127680.472016956,168580.280830281,187340.454838521,47958.658008658,"15671",0.0304954781024102,0.940256928353043,0.0461774489080803,0.904434409724998,-0.932446768877785,0.0643151196058618,0.618505305525059,0.147203541088815,0.694170527375268,0.0465759951629906,0.645137399710107,0.0608389456418333,0.49305654784217,0.171720631758462,0.281420251025639,0.202707171855189,0.136314888164473,0.654705702007568,-0.0621335727915331,0.94366345577739,0.356297168561612,0.416838014768602,0.430749913397695,0.338503332077689
"7","1001.58905_22.5441","16290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16290",4879.97936564084,3971.79833012203,9472.27948272534,7072.39603960396,12697.0889748549,12670.6049361894,20791.8738668739,6243.51882460973,12889.8076813331,21184.2216411907,11691.4141414141,14072.3404255319,21963.1565656566,26024.1580756014,12683.7517433752,25473.7682165163,15613.2176192303,23277.4723112385,14310.5945821855,5104.28260869565,34302.6471943772,10595.5503653132,26683.538308127,17344.4055944056,21246.602481022,21305.3433929459,17983.0191826522,19212.6423470373,11197.6152832675,9458.32635749763,14050.7942583732,3945.14322469983,8803.30568458306,34102.6870007262,19996.2860650706,15922.3541626111,21694.0684624018,17578.9537302524,30192.9423264907,20778.4454716658,13152.8409090909,5057.54860211072,19368.806853061,4292.38785604639,13828.8938534685,19486.8773018027,18667.333105491,28389.8807221148,4805.06895485467,32338.4515151515,25661.8888084028,31895.0283118661,15791.0009182736,13651.2465697437,11658.4496278575,14456.1315280464,13660.3807471264,37165.3622922776,14407.8559176672,19410.652173913,15241.0292908205,5524.35174530111,8410.06696802277,4634.56057581806,32149.6846011132,6261.70148691888,28539.577020202,31044.8006682798,11628.3876500858,6383.848654455,23648.7840185292,6864.34334011759,22575.9825700615,17211.6900968447,42817.9063360882,26396.87100894,2774.3550288881,8015.94082508867,2386.22969236087,6250.51874678993,4539.34421305567,6485.24022146812,10430.0272600482,13633.2534132534,22937.4410774411,8037.42115027829,7858.43098958333,3307,12194.4870390654,6926.90723562152,5046.12901402081,3408.93332176729,18520.3554390916,22536.8346508564,18362.7324380165,14435.0919401959,16591.896991897,10496.1051521013,8237.13269054178,"16290",0.907963077068034,0.0364034032269245,0.92025488423704,0.0948787378364103,0.903308139049085,0.0356733014855404,0.71800554060492,0.294917898956376,0.675421841444775,0.253520965102755,1.24406175949931,0.0474821452963411,0.8496639335758,0.119587336370754,0.760580026813466,0.298978837502871,1.01777305160883,0.105065385185726,-0.73566290733228,0.357483582106322,0.039175259914782,0.950330210846419,0.533233414132385,0.274300994057514
"8","1002.59181_21.8435","15994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15994",14953.8320952718,40123.4658725988,5906.34497844689,23663.9513951395,3987.16312056738,22682.5209422612,17280.1670551671,31764.2056932966,10143.8823260857,11140.8386967015,28697.9463139684,6938.09026434558,3609.72411616162,7673.97563261481,19319.1359198681,21601.0669673838,9491.61008822401,18536.4535897003,11378.2512626263,14171.3010540184,8563.75446480009,13982.1655288058,2724.23079053792,18442.8846153846,11766.2500771462,17105.8805265772,10223.475118154,14914.7976581098,18168.8932806324,29334.6531614487,23744.9984051037,24277.8044596913,37113.2299270073,19976.926123985,10934.7480328143,17456.6510933749,8906.81621773288,6932.11306010007,14385.2883675464,22344.8496262056,16365.2859237537,8784.37820156761,29473.0676935097,8144.82005799079,16424.1794122702,29807.2300833495,7992.48177261335,17078.7040618956,13784.2795299938,12436.3242424242,14951.9678860316,32790.1468483604,15568.30731558,21818.8240789397,3900.80077086656,27419.7421018698,22277.7592737722,29811.0856549365,22311.3779302459,5582.4687088274,10102.804453723,16416.6059327452,14911.8589206987,24442.95651122,6299.04761904762,16722.7680532028,4778.86553030303,17803.8454891116,26964.8338733244,18266.276571687,3894.65579360484,7218.63805970149,39359.6291866029,47926.1886910341,12634.9698281516,13716.7740624637,12711.7321070628,34868.4680480368,12707.5066251872,17777.7435370656,12007.7960218929,16016.2201583616,35556.4346392798,11860.2697302697,12683.4129170493,16841.7717996289,8631.55184659091,30918.6572143453,13894.8734331264,20921.8367346939,13984.8258706468,35561.9159148739,28774.8773768729,19476.0079051383,9907.3347107438,16556.7852437418,9956.97358197358,4856.50811792978,27992.1520398793,"15994",-0.555352015300544,0.394717220795513,-0.720956088293136,0.220250326888704,-0.473600281865935,0.360646553807057,0.0989458717874226,0.877637573502306,-0.384384553505311,0.506945415747975,-0.123090830767848,0.852356868846689,-0.10901800408967,0.859312248206392,-0.52456041395391,0.365962956147413,0.0840525170368354,0.89159654738115,0.0136047551406064,0.987861585198544,-0.305736974443169,0.585511034353181,-0.0670192929224302,0.911206590823049
"9","1003.54053_16.0779","10596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10596",2145.59220610777,1558.21159572605,1071.26970340346,1570.65136513651,1504.24790457769,1270.77893967504,568.404008029008,1108.40679522498,984.192489870456,196.211786001609,1385.06808415648,803.615925209542,758.689267676768,688.054358013121,556.303062000761,198.416175109877,942.078506584836,1412.07988980716,964.162075298439,436.467358366271,1114.52644313861,298.061743921428,885.054401418204,726.92331002331,859.150558538542,1371.75608544461,876.258465387823,1514.88387055266,755.621179183136,0.922763547072939,1.0548644338118,0.945397369925672,1924.69448130945,1606.88717237737,355.079412913667,2058.96210498994,0.927890011223345,1079.27896778546,604.289866405995,1467.32437368031,2083.03824535679,2275.69277294328,2722.15246386517,2384.03320256979,0.947184510511543,2476.45732377076,2600.42919799499,2382.70309477756,163.713883735312,1.00212121212121,0.998128697331885,1.02887188102794,750.983562901745,667.018829917674,908.172348484849,1018.53894261767,728.805609979102,189.918132942326,363.977987421384,468.600592885376,1.0460555450117,1.05708988620381,0.922763547072939,1.00012097018085,1.02257266542981,1.03739255913169,1221.33522727273,1089.75918884664,1.05044152213964,0.934814563545907,1.06382294280383,0.934814563545907,0.941843244474823,1.03311465167135,1.08454676636495,0.959886218506908,243.219107416578,180.4641279323,2485.29870952875,164.8498830109,206.163262581765,0.98440197654343,613.432357043236,1.1012321012321,1.01224364860728,1.02257266542981,0.978633996212121,0.9193772588268,1.00614579530242,1.02257266542981,0.934814563545907,181.873525329632,266.973090102802,1.08926218708827,0.94897842056933,0.947184510511543,0.917693417693418,0.969169450794209,1.08454676636495,"10596",-0.954813690379071,0.0316622985310313,-0.671486015936026,0.070362267828044,-0.32758058972401,0.354144359205439,-0.859871619882901,0.297030931645032,0.224635467966302,0.67093711431077,-0.308999231218043,0.777597610668447,-1.08326395539382,0.0166257825218048,-2.22026339057188,0.00523089582284306,-10.3978258592549,0.000555551474012094,-1.27858322387201,0.258534217337215,-10.3988522406,0.00100819554088857,-4.56931866084356,0.000717472448678365
"10","1003.59464_21.8048","15738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15738",1257.52564556066,6365.11093594909,3436.14810525639,1778.02100210021,2444.53610573823,1008.6284927194,3300.79027454027,3867.78298132844,1844.77115790675,2049.69261196031,4698.71198169541,1073.54900064475,2012.59343434343,2688.16432364886,733.561113224293,1689.64521165857,1059.20406597622,1836.91235171755,777.592917814509,2828.81389986825,794.457310750087,2236.94843693856,1743.17794028032,2206.59382284382,6508.68542862433,2654.1837431694,4584.01501251043,1639.35115486071,1109.95816864295,987.356995368045,3087.58819776715,3870.4568324757,5811.57155496572,1855.78002244669,1577.00290194765,5967.66400622932,2106.31032547699,4329.2008208242,6732.53046594982,5101.19328882041,7053.23619257087,3524.77257298031,5468.29677995424,5113.07436465973,3560.46657501289,1853.60373457388,1335.5337206653,2793.14635718891,1486.82065553494,3614.65121212121,3758.95267415188,4121.66075539792,6131.15977961433,2740.86909558008,2572.33087453482,3748.35976789168,2088.47243991641,6086.47207966764,2353.094053745,1371.38109354414,6056.66160561777,6157.54858713719,1951.64490205927,2030.24556946713,4253.902288188,6072.89604115691,4716.23295454545,1516.51803203134,2058.86538339369,2967.10142469471,2810.62021488773,4366.51882632293,870.451526543632,5075.69228366136,1874.09681227863,5408.95884128643,897.717338757222,3123.65503080082,1202.16441986404,762.819950921646,3025.12581764784,4256.55414657379,3414.13053125396,1710.21345321345,3027.62075298439,2978.75417439703,3363.56504498106,2273.61996107868,1195.30120481928,1399.90197897341,2420.23490502035,1733.63144806847,2260.88322246859,1841.94235836627,3152.50631313131,4405.35515838919,3579.00432900433,3065.48297286208,3922.80565394202,"15738",-0.482452026586131,0.436739156360857,-0.798896930402929,0.171516347201871,0.170091622107921,0.819394892480802,0.106954261330156,0.884549194852093,0.801379542008781,0.0522659494117377,-0.114176988356099,0.851769579177662,0.207760868274244,0.721326849325733,0.48163033235046,0.36015165096721,0.116548796759118,0.815965762527314,-0.299161640176962,0.759658723558675,-0.352823746346106,0.495205351502373,0.0306114905227327,0.950577990106348
