"","feature","id.x","structurePerIdRank","formulaRank.x","ConfidenceScoreExact","ConfidenceScoreApproximate","CSI:FingerIDScore","ZodiacScore","SiriusScoreNormalized","SiriusScore","molecularFormula.x","adduct.x","precursorFormula.x","InChIkey2D","InChI","name","smiles","xlogp","pubchemids","links","dbflags","ionMass.x","retentionTimeInSeconds.x","retentionTimeInMinutes.x","formulaId.x","alignedFeatureId.x","overallFeatureQuality.x","formulaRank.y","molecularFormula.y","adduct.y","precursorFormula.y","NPC#pathway","NPC#pathway Probability","NPC#superclass","NPC#superclass Probability","NPC#class","NPC#class Probability","ClassyFire#superclass","ClassyFire#superclass probability","ClassyFire#class","ClassyFire#class Probability","ClassyFire#subclass","ClassyFire#subclass Probability","ClassyFire#level 5","ClassyFire#level 5 Probability","ClassyFire#most specific class","ClassyFire#most specific class Probability","ClassyFire#all classifications","ionMass.y","retentionTimeInSeconds.y","retentionTimeInMinutes.y","formulaId.y","alignedFeatureId.y","overallFeatureQuality.y","id.y","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","sl1_1","sl1_3","sl1_4","sl1_5","sl1_6","sl1_7","sl1_8","sl1_9","sl2_1","sl2_2","sl2_3","sl2_4","sl2_5","sl2_6","sl2_7","sl2_8","sl3_1","sl3_2","sl3_3","sl3_4","sl3_5","sl3_6","sl3_7","le1_1","le1_2","le1_3","le1_4","le1_5","le1_6","le1_7","le1_8","le2_3","le2_4","le2_7","le2_9","le2_11","le2_12","le2_13","le2_17","le3_3","le3_5","le3_8","le3_9","le3_11","le3_12","le3_16","le3_17","mp1_1","mp1_2","mp1_3","mp1_4","mp1_5","mp1_6","mp1_7","mp1_8","mp2_1","mp2_2","mp2_3","mp2_4","mp2_5","mp2_6","mp2_7","mp2_8","mp3_3","mp3_4","mp3_5","mp3_7","mp3_10","mp3_11","mp3_12","mp3_13","px1_1","px1_2","px1_3","px1_4","px1_5","px1_6","px1_7","px1_8","px2_1","px2_2","px2_3","px2_4","px2_5","px2_6","px2_7","px2_8","px3_1","px3_2","px3_3","px3_4","px3_5","px3_6","px3_7","px3_8","id","ctrl_vs_sl1_log2FC","ctrl_vs_sl1_padj","ctrl_vs_sl2_log2FC","ctrl_vs_sl2_padj","ctrl_vs_sl3_log2FC","ctrl_vs_sl3_padj","ctrl_vs_px1_log2FC","ctrl_vs_px1_padj","ctrl_vs_px2_log2FC","ctrl_vs_px2_padj","ctrl_vs_px3_log2FC","ctrl_vs_px3_padj","ctrl_vs_mp1_log2FC","ctrl_vs_mp1_padj","ctrl_vs_mp2_log2FC","ctrl_vs_mp2_padj","ctrl_vs_mp3_log2FC","ctrl_vs_mp3_padj","ctrl_vs_le1_log2FC","ctrl_vs_le1_padj","ctrl_vs_le2_log2FC","ctrl_vs_le2_padj","ctrl_vs_le3_log2FC","ctrl_vs_le3_padj"
"1","1000.42861_17.0688","9874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9874",3974.88760962934,1890.2976010492,4359.41002152984,5515.11364934323,1715.970703125,1484.63680494263,1277.2928769767,340.671884019942,1676.00211059519,1005.45559707799,5155.76867697877,8601.00412900346,1309.60587772238,2114.61840685857,613.408643585012,1811.66405701301,1796.9680420712,921.660091327958,2104.47785444917,4276.29743542773,1235.90740929995,2636.33395202741,1921.93578606711,405.404649877489,1130.25242718447,1154.45814365709,1715.94883711771,642.205498791707,2253.65558663814,701.95642180372,858.317401045556,1080.93414365898,1419.36076184413,935.38120592744,765.772481079428,484.451972613502,1903.38428234059,675.647231388407,198.264466019417,626.424667662435,986.826405183734,342.097694682536,805.452478283086,774.844851185739,243.346743393558,686.24370408653,200.517762332963,1341.72118145768,2398.59237791624,1815.98806058932,1246.56954564722,1304.00726344008,1991.76654730702,1428.14989212513,906.593088212985,11574.0124557026,12166.9158996343,13707.7036804607,10778.4897518878,11050.8981766517,13870.41680616,11165.0570666271,5833.64931369267,1342.20072815534,1525.94349296389,1127.99633143111,530.964048688596,202.300865747325,1029.15179647084,180.163689320388,0.948501477416631,582.810380881255,1527.98068714429,470.541084265916,681.850586064886,656.818417358755,177.544884241972,571.489691155111,374.275925716866,2441.48957316022,172.759519299076,593.884723488709,1020.30198144873,994.086973265501,838.665188037049,552.043044200307,1337.37613890963,608.422240082299,231.887827331451,781.138111104728,3370.67593172565,739.662730259515,154.716252679359,0.995550161812298,0.993578775353263,194.369092893663,875.410599840458,1510.85726894465,1534.85142239369,384.054306915872,924.572675012775,404.20447143465,946.933422846519,"9874",0.116516930037909,0.965511891898561,-0.426283685501448,0.675597676266551,-1.08889177455174,0.270874023614152,-1.3705827078628,0.149379766385103,-1.80374947066666,0.0899222347524376,-1.60137286703404,0.0871462598483598,2.13256212415456,7.36155381080005e-05,-1.79126509621096,0.0867703655311294,-2.02727636179867,0.0585406025277986,-1.46185406242389,0.119036808141397,-2.13953740404803,0.0458537506329797,-0.72550017990442,0.275861108258427
"2","1000.52309_24.2505","14939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14939",0.932634352329736,0.941383267454781,1.04970142584393,1.05411193603655,0.97999469053398,1.08605472197705,1.01776324858701,0.968643400682236,0.948501477416631,0.970516985596515,1.06304508803686,0.961220845887736,0.968643400682236,0.978084369499801,1.03668859825082,1.06756868415617,0.995550161812298,1.06304508803686,1.03668859825082,0.946711851987543,1.05633111905979,1.05411193603655,0.978084369499801,0.952101103516884,1.03883495145631,1.0409902106917,101.979877508419,1.09553991605545,1.06304508803686,1.0075447420751,0.918969380134429,0.97999469053398,0.913947689532601,1.05633111905979,0.987711184160232,0.966777035748358,0.968643400682236,0.985770690674652,0.937864077669903,0.96491784914115,1.11254386153747,1.04970142584393,1.01570299909595,335.293134251154,1.10763196810905,0.953911181660453,0.925751441980439,1.00957199507726,1.06984495000725,1.09793715876017,577.594608723735,0.93611433125634,0.953911181660453,0.929180151024811,0.97999469053398,1.08370903143283,131.909103517841,0.953911181660453,0.929180151024811,1.11254386153747,0.961220845887736,0.957552064033202,0.961220845887736,1.60819641523525,2069.98369150213,0.957552064033202,685.235690479641,1.06530208397749,570.336880802211,3921.20970873786,0.948501477416631,0.918969380134429,958.745702209575,0.957552064033202,0.963065799526676,1.0075447420751,1.10276325616131,18489.9533674795,357.745162564913,0.989659332452462,1.01983187307601,0.924046559030199,0.932634352329736,1.04750998236618,0.961220845887736,1.10034491568728,0.96491784914115,1.10763196810905,0.999516497118323,0.989659332452462,1.01160742248669,0.953911181660453,0.930904047408902,0.995550161812298,0.993578775353263,0.989659332452462,1.00552561433547,0.930904047408902,1.09553991605545,1.10519225011762,0.943152784874808,0.999516497118323,0.970516985596515,"14939",-0.00648535785156078,0.965511891898561,0.00937221848654533,0.907072994626563,3.94401403061991,0.611323836409945,-0.0162824414545517,0.811569271232829,-0.00863632378648526,0.885056292880945,0.00174527632576488,0.978663102037221,4.11212340922017,0.506917466480304,9.81858144598763,0.231197255473743,11.2685912278281,0.460385887293189,-0.0425250428655414,0.433419317529958,5.41418548311786,0.483111082752615,6.18578329477045,0.484905286841552
"3","1000.55622_18.048","10319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10319",178.506215035912,149.585801198565,395.422527115408,992.130154197601,0.97999469053398,1.08605472197705,1.01776324858701,187.723091052217,245.282482059941,0.970516985596515,826.411251439855,952.954346613101,0.968643400682236,394.36361778232,1.03668859825082,1.06756868415617,0.995550161812298,167.216992348198,188.780993741475,229.577624106979,173.027037301993,1.05411193603655,375.584397887924,0.952101103516884,1.03883495145631,341.965284212222,346.243057169302,552.37122567516,211.014449975317,1.0075447420751,0.918969380134429,0.97999469053398,210.573547668311,1.05633111905979,0.987711184160232,0.966777035748358,564.428509577539,403.67309783127,0.937864077669903,0.96491784914115,1.11254386153747,169.106899703457,1.01570299909595,1.02819115072418,1.10763196810905,0.953911181660453,0.925751441980439,1.00957199507726,1.06984495000725,738.252945550339,1.04315443150395,326.142233009709,385.666290745321,462.267125134844,501.365283677184,1714.42768772673,3886.52439793216,3736.47009856399,2663.95949298813,2584.43939035154,3767.98571587992,2927.2366597495,584.037785961388,1.60819641523525,151.46680484346,240.632833691544,1.06984495000725,1.06530208397749,0.915615477287223,0.937864077669903,0.948501477416631,0.918969380134429,1.0813734516237,0.957552064033202,0.963065799526676,1.0075447420751,1.10276325616131,0.987711184160232,0.972397832467826,1327.13316481875,1.01983187307601,0.924046559030199,172.910408921933,1.04750998236618,0.961220845887736,1.10034491568728,921.400054144884,1.10763196810905,0.999516497118323,0.989659332452462,933.410168728468,523.983412086087,0.930904047408902,0.995550161812298,0.993578775353263,0.989659332452462,1.00552561433547,0.930904047408902,1.09553991605545,1.10519225011762,0.943152784874808,0.999516497118323,0.970516985596515,"10319",0.345937315058811,0.963200807494488,-0.745418099884456,0.724142454081528,-0.197662648633335,0.919006520128482,0.347984921845029,0.857675584585065,-0.381555468015125,0.874773872077231,-7.88947735648077,0.181420112513477,3.5196668968604,0.00258371942389592,-2.25771356059082,0.299054206568638,-7.8982299461367,0.179083136950369,-0.687703632171528,0.703319489385619,-3.43547676036195,0.199700581611137,0.342218002484168,0.795402915580924
"4","1000.57527_21.2589","13552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13552",28193.5364709279,54411.9528588863,59066.6992322379,60347.9083380925,61857.2648665049,78988.759929391,62236.2226510959,13822.5413277355,58522.5411566062,13422.2499107998,64548.0977455982,65295.7320611539,26996.0915770139,6735.08896837563,68836.1229238546,5768.07360049577,46303.03802589,46125.5263699194,63092.8680895451,53015.8637113024,63844.6528359734,50080.8580810965,51985.1842389144,33247.3705348096,57291.7475728155,79417.1431736696,17698.9028929282,22600.988468224,30286.1545581701,8466.39846765704,68224.28678118,79536.3690837379,65109.6334023025,70615.7353091467,59302.1794969804,38951.4467703014,42213.4794017318,35527.1756919145,67807.572815534,67515.3019044063,67097.5202893247,16228.3840435471,65655.041861562,71891.1252586344,64054.3567157462,64379.4656502639,69153.6327159388,70377.2637768358,87566.809158093,64888.0860827261,84015.6579133278,72211.859513114,66773.7827162317,72726.930420712,14601.9208889563,74169.0461112626,65926.6246374984,72440.0151352948,5222.92162891046,80036.4053990054,72485.6639883942,65735.9491958794,73975.5562995201,126725.877520538,72444.7311006872,66626.4726154302,73016.9178379945,49312.833467318,80033.9488696761,74532.0582524272,74296.1207260447,72267.7520537715,88369.838466689,59215.0196398132,76438.5325084323,65530.7100245643,84637.0799103809,81841.7487195169,90987.2651840144,71374.2310564715,4643.29451811508,75993.5890146436,62076.1424910672,94076.8715163062,59364.9994420266,45906.3898824732,68325.8328976848,75861.7134957886,50055.7861756856,47681.7866375596,15568.6382320702,70455.879877441,69855.039717564,67279.2799352751,80410.3302893396,54708.3678979721,67802.5921746406,65423.9364518976,77246.5194810701,78844.4151233908,73924.3152784875,75403.5245426063,71692.0897260145,"13552",-0.433846419561361,0.713010891139563,-0.0392000439083553,0.938150140270601,-0.368228621714013,0.627717119970784,0.201627070250472,0.716815373308596,0.187807081390065,0.659895156429132,0.431676121926224,0.117203454376688,0.283783544240433,0.497624810684569,0.558553087741733,0.11339056685634,0.563918778348589,0.0435642182239994,0.132002429275106,0.757764905069739,0.214190001781657,0.541235151099157,0.347883211016899,0.331926071799567
"5","1000.57543_21.1108","13132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13132",10175.0407839174,38841.4736151843,13404.687208027,45769.540262707,12171.534056432,58223.3936451898,12630.4419149648,12505.1863028077,11315.6226255804,52087.6466169649,80812.6875925621,43139.5915634416,12766.7200209919,13693.1811729972,13870.893444596,84893.0617640983,16197.6011326861,46125.5263699194,13694.6563828934,11568.8188312878,15306.2379151763,60411.1550542547,28951.2973371941,14690.9200272655,28495.2427184466,16749.5324900294,61432.1896847122,59586.4160342562,86808.26188909,74447.4809919289,12452.0351008215,38004.1940989078,12502.804392806,15644.2638732754,14015.6217032337,38951.4467703014,42213.4794017318,25699.0419058882,12604.8932038835,13412.358103062,14841.3351129098,79714.326278588,75121.3938131363,70472.221470635,82130.9104352858,14079.7290413083,12442.0993802171,13154.7230958567,72899.2348934937,13361.8952221113,14593.7304967402,46131.7142443124,64780.1083465613,53520.7766990291,13151.528746966,15009.3700853446,12427.5690329088,62681.5037469083,11772.7125134844,71792.4553850128,12438.1977457873,19265.947528348,13207.1744224975,29269.1747572816,13850.0043634777,11768.3148669681,14731.7649615998,52902.9014903222,10978.2295726738,12454.8349514563,13392.8408611228,12654.2083644511,17615.5735269501,13855.7783665604,13627.3810633025,12483.4793543104,15063.7460791636,73159.7674107484,72657.5660419959,66336.8650542885,84819.4168837319,11624.5057125999,12637.1954740679,52501.2003161927,11140.5496038389,14953.6874041901,62970.5388349515,13557.4152896547,12344.0287394113,12934.8474751537,89608.185483871,13812.6339104434,12232.079182953,63346.8567961165,13939.9102182063,48008.3742172689,13071.8329863611,11152.2304879586,61153.0381142155,14610.6415465549,12015.7664793051,39510.8871310873,12898.1707385777,"13132",0.617625912387059,0.732796414939462,0.0226590357067496,0.985892562639221,0.931460627057571,0.326603233393062,0.637813022855911,0.502331556012608,0.186134105524753,0.885056292880945,0.0603291895418748,0.978663102037221,0.101663130222626,0.91343013829336,-0.354415305228901,0.668124131476576,0.182029691806351,0.872018521242865,-0.0292267504743644,0.97835867240673,0.830246984478333,0.291486957771495,0.517362795157371,0.484905286841552
"6","1000.58155_21.6819","13543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13543",37510.553650702,25247.8992331372,9547.03446805053,9672.53112507139,16101.3127654733,65543.4024713151,21108.4097756947,19469.7323537129,41022.6888982693,51253.0020093519,46391.2876419286,65065.0390581408,59426.2726318552,79938.8355192188,50662.9717965177,44389.5058872134,76567.7629449838,73424.5242307059,64316.160635481,73597.3793735116,83735.3678078692,35038.6807538549,83978.3239652529,59401.5878484184,58953.8834951456,73879.0752527897,62836.7029677623,55686.2939330988,59190.3505018924,59374.6116504854,26521.4563106796,69893.2213288835,62166.7218420075,58066.5216147164,64161.7185230487,64126.3207811886,60026.8315402781,54631.4116771892,60764.213592233,56756.4678864824,59621.2255397929,67926.1792663606,61257.0478754766,64868.5796991883,47750.014145181,58579.6856657684,61571.728406119,44199.0619444824,39017.2453267642,35759.8132608188,32984.5431241548,21867.6307781481,30925.8005094319,52489.3867313916,26773.4549453883,57913.4106397702,25246.1177657294,25660.2107866662,70868.5701186623,76320.5089014703,51367.6420042406,10351.1378121989,17696.0757727932,27226.7653099328,73562.8793498418,35822.0227154821,26339.5826691784,25151.7822027085,18092.5618311955,72159.2621359223,20867.0325031659,31603.356982823,39102.4640107131,42984.5121544505,29084.5871457056,11486.0100596561,48477.4727408514,42896.2967280789,36892.7737638293,34133.3503762854,30390.9898176652,29671.1350104597,42677.3479626087,28638.9229178912,28586.7079567013,52464.4455799693,69821.4555638536,58228.2125634926,51275.19630217,43228.3196415235,82739.3710851863,44938.7557680239,51786.1921573572,26222.7912621359,88994.8509083918,48008.3742172689,53634.7362686538,82357.0810742655,61153.0381142155,62730.7121166759,47289.6806336229,39510.8871310873,27562.682390941,"13543",1.1014344990152,0.11646738895517,1.42959938365132,0.00780498025832134,1.14976719838078,0.0346098746555257,0.631689207962392,0.285045866055134,1.13162034563704,0.0321265547753283,1.04809877463372,0.0294497704886261,0.715995462056506,0.307779727409946,0.55122666116695,0.428029347880915,0.468402111024515,0.364119505822886,1.27404576394548,0.00560679014393705,1.22802002368589,0.00552064925984317,0.475987909579822,0.326270676020993
"7","1000.58441_22.6923","14468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14468",29070.2127621179,17293.2106231443,20059.7942478775,32529.8943460879,47784.5411104369,4670.03530450132,25739.2325567656,29805.1574389924,33614.8923596454,18478.6434057576,20134.0739674181,21319.87836179,6670.07845709787,15218.9927894169,14036.7636203161,16824.8824623012,9114.26173139159,14244.8041796939,27223.4425900666,8689.86808939366,34763.8571282575,31254.4189034837,25723.6189178448,7592.05419944364,21483.1067961165,13335.0845989606,29240.3381319049,19445.8335099843,18858.4198617739,15909.1314773658,15843.0321135176,19060.8967308859,11799.0646718659,26587.8542667348,7074.97521213975,55309.3142151636,27335.1167672527,24052.8048524615,31652.9126213592,8026.18666915609,14396.3175682948,10006.8036925702,9700.97934436539,29385.703087697,15495.7712338456,31402.7561002621,38122.4443807545,51377.1188294817,13533.5386175917,34541.103014595,26652.5957249258,15567.5813287929,55355.4658717561,13835.4924487594,10064.545471784,57024.7692339953,6095.55970243349,31192.8956402968,58789.2281553398,13840.0456375261,12120.9948666443,32777.0071518565,44494.9129561433,47956.4171023152,12384.19657467,17025.2756985103,11351.0549195769,25471.3728279018,51466.7459783148,28717.3980582524,52053.7610806247,32696.930545183,47115.4412872447,30450.1556362558,23932.1851182379,50840.7076851094,29697.4144884242,23665.5599724792,35006.3219688417,21465.7109208939,15858.385626332,46775.2368181087,9801.98704298553,31184.372175041,26395.1244280772,32438.1681144609,12611.4762882748,42289.3885424034,27466.7133408115,56351.2023898432,8129.27724710304,19707.8050131049,42067.5539024083,35172.7872168285,18768.7030664231,50215.3145286379,35233.6175263148,31269.066952465,13738.0705473354,18976.1509345195,57607.7721001533,14023.2164545701,22778.0336519502,"14468",-0.500384664745204,0.572852671446821,-0.383846425828299,0.61488271711178,-0.433181631594517,0.462782937196833,-0.074543795799628,0.903906686308409,0.272362591351125,0.623084357899514,0.2366454229961,0.69045423447867,0.308736066714459,0.633714936972001,0.251859044112457,0.668124131476576,0.401741394710864,0.291734433739625,-0.0287202966063149,0.973438308865064,-0.402793385635633,0.456133267081354,0.0942758889681885,0.911527044990965
"8","1000.58447_21.9399","13731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13731",222713.083336341,197031.517878286,215818.613153512,230850.513992005,220890.803246359,207545.057369815,197140.741251305,225209.59065862,199849.261291684,215163.615706747,189222.025670561,257511.064613324,242354.578850695,207353.886333958,225687.107839204,218211.03904152,244805.784789644,252898.426443969,216564.248174597,187827.631434329,274329.191619826,292199.828669332,282177.340600693,234502.501796209,247658.252427184,295016.625710027,241515.218889699,239485.025649722,240460.798913938,226496.058018482,193075.466766243,235198.725728155,230132.028224309,234928.040878896,224309.209922789,283652.382288568,80039.0041983731,232148.997653881,269635.922330097,268922.604555639,253326.237272081,210465.135881708,247729.961479502,246457.418828585,196826.200732978,204232.383993503,235140.866263032,253806.399562423,219104.245761484,207290.53557392,237734.894939749,210812.947398928,224073.73657204,199866.650485437,234806.727851942,225844.962150601,208336.325810112,200035.174794197,166509.083063646,246428.465330549,190033.361232005,232206.375528052,232903.810958598,330323.54368932,226354.548925494,203767.079226265,277089.842051877,218493.457423783,237968.462546949,218522.330097087,171204.516673702,208422.255414488,233252.253515233,233642.703624101,196658.036263347,217327.400865598,275029.156086632,226383.403409525,239598.825920072,98322.6546791521,234867.280369406,164387.882851472,246681.786191215,231499.706102925,230885.247182234,221059.293561574,182079.998132935,208234.810004501,238184.781263296,235538.921123686,158417.722361416,194407.0988224,246317.210944395,206875.323624595,221369.351148707,168440.018383409,210557.063641847,215411.19657042,226228.992665451,243031.775800864,214944.519672969,236185.74826906,146839.219920753,"13731",0.0317028272966679,0.908003934103798,0.209302618683376,0.160309681556832,0.164228550325264,0.255221196279337,-0.0931910254570197,0.686571131180725,-0.00661421835772844,0.956406840235247,-0.0474514323243528,0.741818998176648,-0.0125747715982798,0.907402187476342,0.133529419801425,0.435435976575678,0.0920331879037173,0.28889637058541,0.0599372893505085,0.824012622749869,0.117647726573176,0.192271921817747,0.0578821135456101,0.412995105081948
"9","1000.5845_22.2528","14314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14314",58037.8357454795,40865.447640212,75221.604175976,106254.483152484,68188.0305673544,43800.5869373345,61147.2159751078,69955.4263972711,47150.0084423807,40790.8289046215,58903.3283281224,53145.9005691329,42823.7247441616,58303.6092658832,87258.0793147717,47645.5903738897,23246.0962783172,40565.8005594866,39093.5270400385,56774.309763693,38651.1556463975,39476.4920045688,47349.0643274854,41187.8937381404,26656.5048543689,63802.2900132941,33942.4043403769,15206.0940348497,72191.3919285832,44080.0824657855,44468.928304705,25783.660307949,39647.0507719242,33897.6656106285,63835.7738322758,48590.2138167125,44121.7069010758,27897.3105460927,44670.4660194175,100158.472740851,57195.8799216412,15231.1676889954,45483.1802995165,87725.2689797867,78553.2591782936,59008.9456975156,46352.3746999606,74021.8186790647,48592.3576293291,55961.8569820059,69275.8857961771,50615.7018910303,86672.3699656687,51448.7049622438,68266.4301425971,45028.1102560339,50920.4513932669,11923.8897707557,65377.1154261057,80692.8062773126,45715.6634304207,76546.7119988142,44764.0547929919,57316.1202389843,44801.0995963783,28161.6062032165,90444.6920736125,92926.3007853565,127270.551342924,41275.3980582524,29707.0662726889,98145.929798357,33738.8516906595,58142.5613280961,86098.0824776848,119394.051935899,35762.6123973114,45592.7482608363,41929.7945360126,39517.0971448268,98403.5774331044,57022.9131577536,62411.8908579059,11732.1118025012,28894.2986273853,43386.6000255493,59892.4508961912,81499.5602134636,78831.8661277221,83547.0408456368,48284.0222752897,35905.2168776994,89106.1354179801,29727.1278317152,81254.8722483899,28729.810421095,82764.8133159523,103609.620476611,76874.0359096112,127318.147213549,31689.9335717936,98502.3507910107,45226.0915287976,"14314",-0.263710744416501,0.667192166298341,-0.681713581683551,0.0854671599942242,-0.608829922276827,0.209560359873387,-0.38356787048604,0.416578002946789,0.0128550886279337,0.97461710802563,0.184089389949485,0.705580208090915,-0.314395273047417,0.404820659703041,-0.0322386017559017,0.950454059567497,-0.0129172352539379,0.975135870004139,-0.672461854588373,0.0568070692668934,-0.0961852143085119,0.801132446162369,-0.0522391473626493,0.888490664025036
"10","1001.43058_17.0731","9888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9888",664.501976034937,797.257489207454,734.895968233335,705.41170759566,361.422041868932,429.208826125331,1.01776324858701,0.968643400682236,388.506205149852,0.970516985596515,1042.84723136416,1776.33612320054,285.846667541328,312.791381366036,143.374033138089,252.373236934518,122.353114886731,252.366903899951,1050.16555002808,661.372899798498,169.43551149719,273.647458595088,209.310055072957,0.952101103516884,214.415533980583,408.484558675422,366.191216841608,409.184158646712,191.454420355439,1.0075447420751,0.918969380134429,0.97999469053398,576.335413019258,1.05633111905979,0.987711184160232,0.966777035748358,156.532773550249,0.985770690674652,0.937864077669903,0.96491784914115,185.127298559835,1.04970142584393,1.01570299909595,1.02819115072418,1.10763196810905,0.953911181660453,0.925751441980439,1.00957199507726,213.434067526445,271.300271929638,264.3353329431,168.219745326764,0.953911181660453,747.246677454153,0.97999469053398,2429.67564847239,3832.53196318245,3425.49505334269,2374.05528586839,1587.60009041397,5086.7807164379,2288.54943303935,1248.62587880817,267.925522778193,0.93962037744082,294.351504483806,202.735618026373,1.06530208397749,0.915615477287223,0.937864077669903,0.948501477416631,0.918969380134429,152.257381988617,0.957552064033202,0.963065799526676,201.911966311849,220.332098581031,141.736554926993,0.972397832467826,416.15174929626,1.01983187307601,0.924046559030199,170.485559605876,1.04750998236618,158.31307331771,1.10034491568728,189.70284914115,1.10763196810905,0.999516497118323,0.989659332452462,617.586331428124,175.138092952859,0.930904047408902,0.995550161812298,0.993578775353263,0.989659332452462,1.00552561433547,147.362110704829,1.09553991605545,1.10519225011762,173.068536024527,0.999516497118323,180.030900828153,"9888",0.185983897900513,0.965511891898561,-0.431483982249093,0.736722479751509,-1.02227713378206,0.323706533543059,-1.97664597141037,0.0824279262502635,-2.2096509864349,0.0671446361914357,-2.86922018940439,0.0344436396807961,2.5917931883424,0.00642526829466046,-2.26285892824212,0.0641536380165608,-2.35928217167089,0.0449239885899333,-2.32222927856801,0.067178472536633,-4.26497278152986,0.0206349047929208,-1.14778205251738,0.191159177016295
