sample,con_1,con_2,con_3,con_4,con_5,con_6,con_7,con_8,le1_1,le1_2,le1_3,le1_4,le1_5,le1_6,le1_7,le1_8,le2_1,le2_2,le2_3,le2_4,le2_5,le2_6,le2_7,le2_8,le3_1,le3_2,le3_3,le3_4,le3_5,le3_6,le3_7,le3_8,mp1_10,mp1_11,mp1_2,mp1_3,mp1_4,mp1_5,mp1_7,mp1_8,mp2_1,mp2_10,mp2_11,mp2_3,mp2_4,mp2_5,mp2_8,mp2_9,mp3_11,mp3_12,mp3_13,mp3_16,mp3_17,mp3_3,mp3_6,mp3_9,px1_1,px1_2,px1_3,px1_4,px1_5,px1_6,px1_7,px1_8,px2_1,px2_10,px2_12,px2_2,px2_3,px2_7,px2_8,px2_9,px3_1,px3_2,px3_3,px3_4,px3_5,px3_6,px3_7,px3_8,sl1_1,sl1_3,sl1_4,sl1_5,sl1_6,sl1_7,sl1_8,sl2_2,sl2_3,sl2_4,sl2_5,sl2_6,sl2_7,sl2_8,sl2_9,sl3_1,sl3_2,sl3_3,sl3_4,sl3_5,sl3_6,sl3_7,sl3_9,,,,,,,,,,,,,
group,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,le1,le1,le1,le1,le1,le1,le1,le1,le2,le2,le2,le2,le2,le2,le2,le2,le3,le3,le3,le3,le3,le3,le3,le3,mp1,mp1,mp1,mp1,mp1,mp1,mp1,mp1,mp2,mp2,mp2,mp2,mp2,mp2,mp2,mp2,mp3,mp3,mp3,mp3,mp3,mp3,mp3,mp3,px1,px1,px1,px1,px1,px1,px1,px1,px2,px2,px2,px2,px2,px2,px2,px2,px3,px3,px3,px3,px3,px3,px3,px3,sl1,sl1,sl1,sl1,sl1,sl1,sl1,sl2,sl2,sl2,sl2,sl2,sl2,sl2,sl2,sl3,sl3,sl3,sl3,sl3,sl3,sl3,sl3,,,,,,,,,,,,,
sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,1.27,2.18,4.62,3.07,2.74,1.65,2.665,2.655,2.63,3,4.885,3.495,3.99,3.045,1.533333333,1.173333333,2.81,0.3,1.013333333,1.66,1.906666667,2.613333333,,,,,,,,,,,,,
px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.67,0.66,0.78,1.15,1.02,1.08,0.97,1.205,0.31,1.225,1.06,0.67,1.235,1.185,0.985,0.74,0.763333333,0.976666667,0.823333333,0.89,1.28,0.9,0.853333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20.5,26.5,18,12,20,20.5,13,16.75,21.5,22.25,11.5,12.25,20.5,15.25,20,17.5,18.33333333,17.66666667,14.83333333,18.66666667,12.5,14.33333333,16.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8403,29420.83924,31140.54659,25923.93575,23894.08567,20074.15123,21454.98188,18803.46602,17510.78532,14494.54344,13235.62871,12486.99786,1.145022411,1.169860207,1.182687622,1.072178043,1.130619613,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,1.159796894,1.130619613,1.169860207,1.105134335,1.116574649,0.982341631,1.162296456,1.098381987,1.169860207,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,1.008047767,1.211922597,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,1.107403605,1.072178043,1.111970218,1.049232598,1.080772656,1.121217371,1.019481201,1.013732247,1.102874347,1.172403382,1.132994865,1.149905236,1.051277886,1.182687622,1.085121842,1.121217371,1.070050705,0.982341631,1.070050705,1.123553241,0.104597664,1.19845679,1.140180879,0.989551478,1.051277886,1.008047767,1.035135423,0.975236086,1.137775434,1.1282543,1.149905236,1.0233502,1.019481201,1.063719044,1.201125959,1.085121842,0.973475732,0.971721722,1.074313856,0.980555556,1.055392477,1.135380117,1.426734274,1.017557652,1.011830311,1.145022411,1.087309588,1.078611111,,,,,,,,,,,,,
2711,28043.88889,32393.12724,20465.11122,33255.41694,32529.54145,27785.96014,100277.1267,25234.17353,54043.61752,23959.98728,34152.56143,28339.30467,33376.11171,24954.70882,36303.94853,73173.70137,39487.35098,50608.34474,35859.26621,39405.25926,51912.04148,50617.84009,24413.6048,38876.39188,39266.41917,42957.26681,55157.25467,53115.45606,28684.37563,39994.62105,35093.30448,40722.83382,10513.68982,35178.55505,68856.47884,13302.87037,16248.45646,42569.85722,55348.50499,53566.46742,14152.99065,49067.2697,23185.71835,19617.49019,11716.995,138710.2766,19942.23155,29338.22222,103627.3105,29242.57571,38278.97041,91635.65212,23615.68468,32633.36721,6711.582035,27640.79398,34288.25381,11742.4055,39125.88359,40410.08962,12994.90933,15934.49118,14486.23381,16929.12122,10308.94293,31791.8359,29345.58162,21277.86441,14334.17398,36579.4573,12041.87457,19100.40509,14057.30874,10443.69489,28527.01678,1321.068496,13830.19136,48765.53618,20216.5367,17661.46849,26229.40291,23249.14161,18149.14356,18295.42897,21978.39377,17340.57095,14419.00432,21235.79343,26518.51578,26616.95125,25934.41203,18447.36512,35749.64214,14771.81552,24994.36111,23408.60513,48026.57895,29019.77513,33497.9979,32611.29091,42079.5736,30596.8918,23200.925,,,,,,,,,,,,,
2786,2906.512707,2920.368578,2651.585648,2026.353555,836.7796517,2929.836051,5011.448723,3079.368141,4142.590263,4030.38274,2881.136218,3354.915664,2967.935346,3057.247502,2829.477855,5198.588982,3908.229316,3943.464237,2850.325985,3517.470679,3840.352421,4404.894014,2938.323864,3740.344982,4117.716632,4030.168414,3979.588741,4458.482574,3321.297055,3721.673252,3831.15637,3598.489998,2583.57261,3030.996177,6089.530159,3192.688889,3995.711397,4284.203011,7425.44975,6025.658697,3476.75675,5293.458852,1996.977744,3437.321097,3073.940484,6885.578132,3366.635054,4116.699074,6838.596054,4415.887716,3769.276872,6786.454459,4115.364855,4227.151084,1451.588785,4616.765629,5343.735366,3846.304983,4246.244326,5224.455021,4229.231924,3773.099926,3801.495927,3627.353726,1583.916969,5183.451506,4936.543177,3644.780431,3873.301962,5346.395316,3612.56237,3933.506393,3403.813752,3931.366292,4105.463542,352.5987253,3470.730864,4833.226744,4086.847604,3864.497509,3000.958204,4174.701162,3449.410036,3508.899437,3366.710832,2744.823798,2563.492252,3344.917822,3683.659051,3560.137342,3576.561592,3995.144404,3919.925425,3144.516656,4320.327778,3237.944118,5163.708772,3646.732804,4013.247379,3806.505629,4543.448927,3834.940916,3127.972222,,,,,,,,,,,,,
5,1.147458629,1.159796894,1.096149503,1.055392477,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,1.182687622,1.072178043,1.130619613,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,1.159796894,778770.7897,640264.4914,1.105134335,1.116574649,0.982341631,1.162296456,638599.2872,497541.5462,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,1.008047767,1.211922597,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,833542.6934,1.072178043,1.111970218,1.049232598,1.080772656,1.121217371,1.019481201,1.013732247,1.102874347,1.172403382,1.132994865,1.149905236,1.051277886,1.182687622,1.085121842,1.121217371,1.070050705,0.982341631,1.070050705,1.123553241,0.104597664,1.19845679,1.140180879,0.989551478,1.051277886,1.008047767,1.035135423,0.975236086,1.137775434,527797.3617,1.149905236,1.0233502,1.019481201,1.063719044,1.201125959,1.085121842,0.973475732,0.971721722,1.074313856,0.980555556,1.055392477,1.135380117,1.426734274,1.017557652,1.011830311,1.145022411,1.087309588,1.078611111,,,,,,,,,,,,,
2647,348.3684397,1820.881123,843.2678128,1136.657697,1524.822255,825.3719807,2589.388951,1065.405893,3249.400769,3149.379771,4314.444444,3388.121314,2971.444926,2694.162403,3746.190082,1706.104997,1913.030222,1641.172142,2967.698301,1815.662037,3486.336106,3318.368565,2240.792298,4374.753883,3154.428721,582.9413413,4009.427368,3588.670922,3284.950415,5187.329083,2468.064325,1867.096891,1985.574663,2253.208716,6783.950265,3364.239418,3896.396027,3967.676012,9234.850187,2864.918542,2767.091121,1793.800207,1878.72837,3655.850114,1655.354388,6051.097108,2235.703255,2613.834259,7213.589823,4702.620228,3916.999698,3511.272651,2674.407823,6445.359079,1029.216771,3327.747833,2249.429534,967.4140893,1964.163424,1839.475061,749.1974474,1187.6956,1101.926953,818.4430527,1241.575181,3089.676996,2349.256397,1764.044293,1706.618238,3482.155992,927.9194964,1421.027337,1350.719743,2461.116623,701.4342882,146.7505226,790.2624074,1841.392119,1191.41998,857.4222439,1042.321391,1506.122041,1053.254973,467.9670359,1199.334321,278.8520197,1154.339026,1413.000945,538.3482084,1215.53947,930.4919797,3015.827818,1393.448949,1345.040947,1353.166667,1377.287182,2645.435673,835.4955908,1037.908805,1178.782312,687.4714555,1770.140009,2316.856667,,,,,,,,,,,,,
1871,5701.721927,3907.355735,4477.77072,4157.190965,4309.094191,4252.307065,5350.922309,4204.585905,3198.522886,1455.301633,4507.349893,989.0703586,3844.160641,3604.831871,3617.528717,3404.295656,3539.048045,2555.88752,2699.563269,2036.178086,3347.627959,3473.263452,3292.660985,2770.754779,1668.794549,2468.405037,2724.156136,1840.115022,3739.77459,1694.628233,838.5048088,1648.333032,2631.190965,3020.111111,3534.762698,3887.108995,3547.637402,2296.332814,1284.637953,3776.276664,2758.018692,2503.691607,2075.442281,3168.670746,2781.521524,2632.166209,2668.3551,2371.745988,1496.950935,908.6418746,1772.673913,2072.738734,2290.99528,2167.984417,199.6942627,1920.237851,2656.85719,2900.018328,2978.771347,3615.184536,2982.438207,970.0363632,3010.784774,2718.585265,3233.488527,4178.485061,2879.36271,3544.909032,3063.160941,3414.878437,2233.465003,2911.60797,3883.196468,2231.055721,3186.396991,253.9631282,2069.734877,4021.417959,3136.878186,1392.943199,4229.768432,5295.752826,4348.577707,4587.510549,3452.458159,4227.051647,3539.768343,4171.717076,3965.544598,3993.743813,4086.568858,4247.274619,4392.182182,4143.628541,1124.697222,3084.912209,5475.938304,2967.60729,3944.053459,4556.271889,4245.7431,4031.743952,3813.968889,,,,,,,,,,,,,
1739,37705.49054,34677.92712,33509.29031,27936.23886,40512.11971,40143.09179,44215.83271,31315.23205,31103.34556,37247.07644,38622.57479,28282.05355,30884.30947,28621.04045,31886.57499,24783.18192,27578.65105,18582.23249,18890.8719,13398.74691,28497.2782,30764.15968,32636.90025,26420.17324,15930.43035,18132.83321,18919.89982,12036.67472,23723.55039,15830.47773,19485.29645,16764.09677,21173.55692,23769.0265,30499.01323,32080.97619,25209.93635,20503.69159,24795.93633,25861.63561,20271.8406,18605.5119,12510.12067,18955.88858,18567.0862,20673.37963,17215.51876,24760.11728,19243.63188,17545.54543,15710.20531,16399.0552,14925.70258,23162.6355,2169.318795,11273.3687,17283.51005,19148.12715,19557.69563,20080.75596,15977.34754,13824.16509,15601.33929,15186.57975,17257.77778,23294.37442,14764.78323,20468.38044,17184.45115,20823.48815,15057.9493,17259.91788,15029.82696,14220.97388,13909.58912,1409.976511,16143.21296,20774.09561,14130.79511,16715.31839,29424.91433,33176.09032,28496.39843,29195.31763,30801.3424,31840.87598,31795.49072,26363.78387,26273.8604,25728.11804,29016.15806,27305.99428,29258.54104,27470.20529,31142.44444,20506.27582,33766.20468,19874.40844,26008.77358,25821.90953,26427.11724,29313.86649,29187.21667,,,,,,,,,,,,,
1836,7854.354314,7052.72491,7502.0472,7644.207708,7894.834105,5835.05163,4658.733259,7124.159808,8128.0244,4890.801527,5129.625534,4956.802017,6948.969631,5284.248294,6655.009112,5103.616935,11596.22675,13477.10187,11747.34991,11134.86204,10191.94338,12470.73433,7044.400253,14172.71804,26128.61926,13792.65184,13593.15232,14180.49804,12750.79437,11704.32531,10938.78621,10415.26543,2050.911476,1987.019368,3246.10582,2246.592857,1922.791756,2408.226116,2782.574282,2786.412037,3716.672118,1808.633759,2688.791837,5138.439178,2096.512404,1555.774463,2884.681022,2496.385494,2684.431205,3126.108978,3840.793478,2593.527361,2843.994141,2967.974255,1226.794133,3940.142026,4495.642534,4618.012314,5458.107977,4218.255678,4866.083391,4075.885843,4014.379699,4412.600261,6381.391606,4582.964227,6337.127754,5745.233647,6774.434698,4634.555388,5089.205648,4425.729718,7824.351093,5525.741843,8746.861979,658.9652832,4944.832716,8148.872739,5552.373344,3999.061079,11088.52544,33900.68511,10990.91069,12424.50774,11463.06369,14718.78702,7812.255429,12835.26833,33985.82347,25331.74647,28267.42399,25018.32631,22942.34985,25407.52269,14325.91667,31007.43096,29962.68129,61977.33686,16993.21279,49053.53346,78376.78403,17016.39505,35680.45556,,,,,,,,,,,,,
3684,5560.584515,14381.48148,11071.10998,8503.297184,9818.785273,11946.79046,5849.298425,11463.01726,8936.417424,9495.48293,7855.192842,7932.715263,9079.285069,7670.911915,9182.132759,4697.724493,9451.734919,18427.19598,7091.918647,10898.76605,6804.980273,5761.637549,3501.02904,104.8688351,8951.115479,8675.683297,7478.444046,9235.188923,6965.784507,1959.631825,10881.67034,8008.862979,10411.80869,4545.99949,8591.907937,9663.328307,14539.30823,6980.730789,1619.128589,5539.828586,19556.12669,7873.437295,14156.77083,14144.2405,21379.97446,6751.306584,12204.8067,11817.98241,854.1188733,2882.852154,664.6354771,1823.917501,5032.816298,8560.72832,624.9896158,6359.818903,8826.169649,10296.84422,7729.696552,6064.215375,8505.554978,9979.701481,8071.336153,8055.394229,11066.31552,6722.058532,6150.843106,11069.95614,11202.41715,6430.432037,9648.075479,6112.12963,9297.86354,10199.72332,8103.065972,938.1364484,9527.731481,4256.29522,11082.97655,10586.36831,8640.985462,14253.81478,9469.542395,9509.527075,13290.83566,9234.888948,8394.541693,12672.15133,7674.732906,9517.722098,8887.147887,9718.208233,7299.573574,8479.559263,9452.555556,16727.97075,11694.4152,18961.2985,12973.86006,16482.71576,14816.59,6339.014897,6775.835,,,,,,,,,,,,,
1115,1.147458629,1.159796894,1.096149503,1.055392477,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,1.182687622,1.072178043,1.130619613,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,1.159796894,295.7700908,1.169860207,1.105134335,1.116574649,0.982341631,1.162296456,1.098381987,1.169860207,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,1.008047767,1.211922597,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,1.107403605,1.072178043,1.111970218,1.049232598,1.080772656,1.121217371,1.019481201,1.013732247,1.102874347,1.172403382,245.9731851,1.149905236,1.051277886,1.182687622,212.4668567,1.121217371,1.070050705,0.982341631,1.070050705,564.4731481,0.104597664,1.19845679,256.7687339,167.2341998,1.051277886,357.151324,576.3634037,0.975236086,1.137775434,621.2168178,520.6770907,1.0233502,340.2008769,574.6210278,648.3677926,1012.635703,1187.640393,1059.176677,1521.22842,772.6777778,861.0947217,287.4782456,3322.864124,507.7612683,1497.50886,2382.791637,474.3931732,2816.253611,,,,,,,,,,,,,
2696,2861.76182,3542.019713,2250.39493,3797.302131,3123.478009,2712.941425,11223.09307,3052.735768,5286.777312,2631.687606,4024.049145,3044.614591,3444.06845,3037.141813,4548.179258,7857.806313,4206.814795,5239.126454,3484.74359,4780.644136,5459.304223,5452.978395,2414.618056,3327.457288,4029.528302,4452.487949,5933.466245,6007.171613,3337.014521,3458.994253,3573.036603,4465.356411,1122.907255,3855.292559,6961.664286,1362.131746,1349.996134,4147.108515,6263.21598,5412.397738,1402.194444,5791.442371,2705.368852,1610.89968,981.9813164,16223.55396,1719.539542,2728.886111,11038.12305,3937.65515,4645.062198,10303.51365,2318.38189,3555.111789,1029.216771,3076.367214,3133.976419,1871.445876,3815.009728,3816.20825,1274.824151,1138.760502,1383.744518,1551.744206,945.6605676,2607.021183,2406.751658,2650.271551,1738.550804,3795.756204,985.3258258,1903.620205,1406.713216,808.2092978,2734.728588,87.83065846,1254.784259,5280.177649,1909.834353,617.4155025,2427.379024,2750.35482,2068.475738,1740.796414,1903.365005,1648.964108,1293.514653,2105.228681,2095.526518,2156.021096,2174.584172,2078.370688,3643.956456,859.7733787,2683.780556,2232.155088,5052.44152,2690.820841,4231.004717,3610.210548,4542.303904,2931.386649,2298.520278,,,,,,,,,,,,,
3464,1.147458629,1.159796894,1.096149503,1.055392477,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,1.182687622,1.072178043,1.130619613,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,1.159796894,1.130619613,1.169860207,1.105134335,1.116574649,0.982341631,1.162296456,1.098381987,1.169860207,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,1.008047767,1.211922597,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,1.107403605,1.072178043,1.111970218,1.049232598,1.080772656,1.121217371,1.019481201,1.013732247,1.102874347,1.172403382,1.132994865,1.149905236,1.051277886,1.182687622,1.085121842,1.121217371,1.070050705,0.982341631,1.070050705,1.123553241,0.104597664,1.19845679,1.140180879,0.989551478,1.051277886,1.008047767,1.035135423,0.975236086,1.137775434,1.1282543,1.149905236,1.0233502,1.019481201,1.063719044,1.201125959,1.085121842,0.973475732,0.971721722,1.074313856,0.980555556,1.055392477,1.135380117,1.426734274,1.017557652,1.011830311,1.145022411,1.087309588,1.078611111,,,,,,,,,,,,,
1985,32496.02837,34434.36977,32139.10343,34849.05958,32968.26224,37188.63527,34838.17584,32036.52549,34427.36723,33686.01304,35438.59776,35060.58622,33376.11171,36154.7606,34277.53203,35637.13021,28955.84764,31616.37292,30365.02762,33341.0679,35619.00992,38056.65618,35712.27904,39003.96953,37061.71092,35189.39503,37066.2056,34837.12905,34372.13368,32672.15338,39728.47647,39564.67221,33432.51483,38077.94088,34227.92593,38419.10053,40904.07447,35644.56906,38454.304,42063.55778,36057.86864,36236.24754,38127.13456,34393.2595,31134.01866,36353.1893,33465.11712,38794.0463,39414.66771,36436.7669,42909.96377,38480.49297,32537.39963,36806.70732,38567.90758,31904.29786,36507.66236,41331.93299,37751.38889,38832.16155,37235.6289,34438.07498,36899.8538,44931.10089,38196.90217,43212.42414,42592.48993,39738.30409,38614.75085,36687.96948,34152.28113,41539.36839,34706.12983,37387.57165,46222.98032,4054.205456,43587.87346,46108.91473,34901.48063,36637.03433,30735.37643,31478.46822,30593.15602,35737.52637,38022.16992,41695.56385,36154.96258,35569.69912,36411.10289,40081.57325,39899.93014,32465.41566,32785.89089,35763.90826,34495.94444,43249.98369,37365.35965,48038.143,33528.52463,37822.21701,39869.68035,36142.1707,37535.66667,,,,,,,,,,,,,
1418,1.147458629,1.159796894,1.096149503,207.3846217,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,725.2622596,1.145022411,1.169860207,196.0896077,213.7923017,706.7503203,181.3501729,580.9439311,1190.924276,710.2054938,429.063633,1.130619613,280.0154672,1665.468339,790.1900478,324.8701796,419.0669399,263.1766448,551.1918893,547.5578604,1.098381987,368.9739094,719.8123431,260.3509939,698.5291005,217.7767196,324.2762313,396.3643821,2974.058052,1.137775434,223.6857996,772.9339937,305.5696437,170.1118081,477.5839066,1074.616255,167.0237355,923.4109568,2814.469367,1.035135423,2750.458333,2855.078982,1.053331163,2007.74729,1.008047767,1457.343144,1.072178043,1.111970218,164.2049016,278.1908818,1.121217371,1.019481201,1.013732247,211.2004374,1.172403382,293.6722689,1.149905236,1.051277886,1.182687622,165.2640566,1.121217371,201.704558,0.982341631,1.070050705,1.123553241,0.104597664,1.19845679,1.140180879,0.989551478,1.051277886,159.6747664,165.8286948,0.975236086,1.137775434,1.1282543,1.149905236,365.3360215,356.5125761,1.063719044,1.201125959,259.3441203,267.4137836,151.7829329,191.4427291,0.980555556,168.0184823,464.1433918,209.301918,225.1855084,474.5484157,371.3307679,1.087309588,248.8355833,,,,,,,,,,,,,
8398,8106.795213,9029.018817,7435.18208,6303.859263,6095.008818,5838.568841,5348.514695,4399.889975,4184.423189,3626.932782,3366.511218,3621.705886,3428.860268,3293.785027,2795.168158,2485.10191,2225.503398,2167.188855,1289.071816,2395.715123,1714.184261,1094.892034,1571.117424,1167.915472,1356.743536,1161.671186,1179.178336,1188.035427,960.0424762,1063.849946,887.82216,316.5641721,1.107403605,0.989551478,179.9739683,1.027248677,1.154829883,1.008047767,1.211922597,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,1.107403605,1.072178043,1.111970218,1.049232598,1.080772656,1.121217371,1.019481201,1.013732247,1.102874347,1.172403382,1.132994865,1.149905236,1.051277886,1.182687622,1.085121842,1.121217371,1.070050705,0.982341631,1.070050705,1.123553241,0.104597664,1.19845679,1.140180879,0.989551478,1.051277886,874.7838525,273.0687247,637.3167822,531.3411275,220.5737157,313.4641673,423.1553078,413.6035234,549.1981427,1.201125959,1.085121842,195.473927,0.971721722,227.9694002,0.980555556,185.2213796,1.135380117,1.426734274,1.017557652,1.011830311,195.68433,1.087309588,180.9909444,,,,,,,,,,,,,
2825,1.147458629,1.159796894,1.096149503,1.055392477,1.070050705,1.172403382,31359.17349,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,1.182687622,1.072178043,24070.89157,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,1.159796894,1.130619613,1.169860207,1.105134335,1.116574649,0.982341631,1.162296456,1.098381987,1.169860207,1.107403605,0.989551478,22691.92328,1.027248677,1.154829883,1.008047767,1.211922597,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,40969.46731,1.006167081,1.19845679,33567.99065,1.035135423,1.172403382,31004.2829,1.053331163,1.195799458,1.008047767,1.107403605,1.072178043,7493.567297,1.049232598,1.080772656,1.121217371,1.019481201,1.013732247,1.102874347,1.172403382,1.132994865,1.149905236,1.051277886,1.182687622,1.085121842,1.121217371,1.070050705,0.982341631,1.070050705,1.123553241,0.104597664,1.19845679,1.140180879,0.989551478,1.051277886,1.008047767,1.035135423,0.975236086,1.137775434,1.1282543,1.149905236,1.0233502,1.019481201,1.063719044,1.201125959,1.085121842,0.973475732,0.971721722,1.074313856,0.980555556,1.055392477,8281.462573,1.426734274,1.017557652,1.011830311,1.145022411,1.087309588,1.078611111,,,,,,,,,,,,,
479,608.7268026,760.8267622,3153.622121,1785.72407,1898.269951,291.3422403,628.2668961,1577.968107,316.4604298,1134.188401,642.2921741,972.4675336,868.0362738,1907.675134,245.957643,1.130619613,2864.337446,1627.883299,1912.359287,5237.256173,1383.976061,1190.542453,1377.234848,513.0941458,3087.722164,3722.49518,2467.76497,1034.059783,1211.227231,1298.285141,2406.554933,2602.938961,1932.41929,765.7149337,1.027248677,1348.777513,1525.530276,633.0539979,310.6157615,1508.690225,464.1051921,1342.436422,1564.870219,1257.043061,1600.715551,2329.222965,1188.283323,1834.837346,373.0784787,732.2547985,1449.09058,2018.345255,1882.302789,1741.084011,773.7774663,4885.864705,731.5470786,1504.495704,1087.004972,454.2487475,1068.18379,1392.611321,1111.050543,1150.297944,2263.91093,1008.478729,1332.740168,832.1915746,1682.964486,897.0702269,1779.371968,757.1678792,1595.322809,3511.906415,1226.920139,136.9183422,2714.50463,848.4085917,2144.358053,1471.789041,1650.174195,163.758424,2128.940376,1447.250352,3223.422536,1064.352286,1103.171516,1037.831863,1735.989481,2313.368597,459.1150514,588.2713849,662.2283534,2898.498783,1647.333333,1862.767721,594.5985673,1.426734274,661.2089623,869.3646029,1.145022411,2030.007,679.6328611,,,,,,,,,,,,,
271,2092.964539,4307.485663,3447.390187,3550.340291,3920.665785,4559.476751,3884.68533,3939.371856,3941.339972,2004.899279,4052.051549,4001.853326,3297.835924,4317.992507,4119.308041,2436.485267,4258.893658,4721.968971,4154.575255,4072.356173,3935.58488,4356.27737,4276.559343,4553.362605,4718.075646,4371.767595,4594.043431,3206.802392,4805.61526,3583.359974,4886.70146,4783.558388,4015.445471,3965.132773,3657.005291,4852.722751,4013.033845,4005.981828,4291.417915,5079.029536,3872.919522,4526.352325,3911.070412,4126.990655,3996.729727,3352.349966,3807.336235,3825.474074,4628.955348,3987.341651,6026.153382,5154.650095,3205.28673,4597.848916,2766.083074,3880.342231,3201.523636,4049.795533,4003.871595,3787.027388,5316.812774,4200.26255,4555.712719,4300.107078,4661.475845,4886.606851,5433.302239,4643.494423,5401.334369,4393.658339,4094.68584,4595.86778,3858.637928,4241.680996,4517.807581,489.9354582,1935.507716,4616.592377,4510.375637,3838.215562,3532.199377,3726.487524,3993.591772,3837.716538,4217.414575,5127.427446,3696.340923,3861.794791,3787.903517,5032.717768,4167.952996,3660.268753,3674.07983,2503.151284,4421.325,2933.991085,4366.67193,4695.382496,4186.23218,3601.104075,4814.819238,4192.665771,4077.15,,,,,,,,,,,,,
1674,4378.702128,5804.783453,4177.425757,4931.849043,5713.000716,4519.615036,6277.853733,3889.436157,5862.262695,6918.343405,7111.573451,6764.792404,6707.978429,5971.389803,6535.997349,6854.946716,10045.43395,6549.184919,6997.818428,7766,7134.153338,6546.287561,6762.49053,8091.902927,6577.94491,9240.725777,6795.471027,6748.57718,7007.042856,6053.239943,6513.405182,6710.318149,7037.549909,7912.453619,8034.111905,8684.360317,7574.529205,6787.185618,10254.07709,8170.365389,8126.881101,7510.015281,7564.644524,6593.962722,5709.758443,7241.786123,6921.423352,8854.198765,7622.857217,8729.297025,10828.31763,10593.99797,7772.530653,10426.17547,2886.040758,11483.77538,5353.384968,6735.203608,5742.450011,6098.8001,6131.937803,5998.627389,5756.985432,6935.976767,7535.036534,10284.19439,7329.495973,7637.533842,6082.562439,7856.282137,6771.031705,7459.323468,7175.023275,6640.734678,6561.550926,617.2308152,7683.306481,8234.386305,6978.317023,8109.557613,6182.356957,8394.948283,5915.782098,7153.194151,9952.331183,8248.270256,5566.001739,7965.206627,7664.095716,12239.47352,11241.86228,9002.70357,8750.354104,8304.446104,9467.263889,12042.02816,8989.939766,9543.425558,10745.40881,9998.907129,10992.21515,10089.14567,10088.24972,,,,,,,,,,,,,
