"","feature","id.x","structurePerIdRank","formulaRank.x","ConfidenceScoreExact","ConfidenceScoreApproximate","CSI:FingerIDScore","ZodiacScore","SiriusScoreNormalized","SiriusScore","molecularFormula.x","adduct.x","precursorFormula.x","InChIkey2D","InChI","name","smiles","xlogp","pubchemids","links","dbflags","ionMass.x","retentionTimeInSeconds.x","retentionTimeInMinutes.x","formulaId.x","alignedFeatureId.x","overallFeatureQuality.x","formulaRank.y","molecularFormula.y","adduct.y","precursorFormula.y","NPC#pathway","NPC#pathway Probability","NPC#superclass","NPC#superclass Probability","NPC#class","NPC#class Probability","ClassyFire#superclass","ClassyFire#superclass probability","ClassyFire#class","ClassyFire#class Probability","ClassyFire#subclass","ClassyFire#subclass Probability","ClassyFire#level 5","ClassyFire#level 5 Probability","ClassyFire#most specific class","ClassyFire#most specific class Probability","ClassyFire#all classifications","ionMass.y","retentionTimeInSeconds.y","retentionTimeInMinutes.y","formulaId.y","alignedFeatureId.y","overallFeatureQuality.y","id.y","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","sl1_1","sl1_3","sl1_4","sl1_5","sl1_6","sl1_7","sl1_8","sl2_2","sl2_3","sl2_4","sl2_5","sl2_6","sl2_7","sl2_8","sl2_9","sl3_1","sl3_2","sl3_3","sl3_4","sl3_5","sl3_6","sl3_7","sl3_9","px1_1","px1_2","px1_3","px1_4","px1_5","px1_6","px1_7","px1_8","px2_1","px2_2","px2_3","px2_7","px2_8","px2_9","px2_10","px2_12","px3_1","px3_2","px3_3","px3_5","px3_6","px3_7","px3_8","mp1_2","mp1_3","mp1_4","mp1_5","mp1_7","mp1_8","mp1_10","mp1_11","mp2_1","mp2_3","mp2_4","mp2_5","mp2_8","mp2_9","mp2_10","mp2_11","mp3_3","mp3_9","mp3_11","mp3_12","mp3_13","mp3_16","mp3_17","le1_1","le1_2","le1_3","le1_4","le1_5","le1_6","le1_7","le1_8","le2_1","le2_2","le2_3","le2_4","le2_5","le2_6","le2_7","le2_8","le3_1","le3_2","le3_3","le3_4","le3_5","le3_6","le3_7","le3_8","id"
"182","114.05578_0.6383","1746",1,1,"0.772","0.772",-9.332,1,1,32.108,"C5H9NO2","[M - H]-","C5H8NO2-","ONIBWKKTOPOVIA","InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)","Hpro","C1CC(NC1)C(=O)O",-0.04,"101007276;101255034;161563495;136749740;6971012;6971047;163322668;87431337;76973027;76974064;16054089;160679488;5231966;16217408;16217530;16219853;5460770;5460772;5460773;5460775;5460776;135040994;77479960;118264374;118264386;129689560;129844038;134818146;58083591;102018542;101520009;124202790;124202871;101592209;102187625;102187628;102351655;59340908;59340909;59340910;160043157;156769257;160448855;89872831;140533856;100915807;25240827;25241136;25246272;10290769;129148415;129148416;129148531;153694874;153695618;153695678;153697277;71751801;54159346;54159348;44557099;131698612;123600984;138977863;68326741;11051626;11499207;166451381;59539825;10630463;10701816;10701817;10855425;88822544;88822950;88901888;88901895;88901902;88901909;614;8988;145742;450588;12210862;12210865;12210867;12210868;12210869;12210870;12210872;12210873;122164811;54728052;71309447;71309553;71310238;71310239;57616909;57616916;57616951;57616954","PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000162 HMDB0003411 HMDB0251528);MiMeDB:(MMDBc0000050 MMDBc0000242);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(145742 6971047 8988 614 5460775 5460770);SUPERNATURAL:(SN0270146);HSDB:(147-85-3);MESH:(614 145742);FooDB:(FDB000570 FDB023166 FDB030009);PUBCHEM:(101007276 101255034 161563495 136749740 6971012 6971047 163322668 87431337 76973027 76974064 16054089 160679488 5231966 16217408 16217530 16219853 5460770 5460772 5460773 5460775 5460776 135040994 77479960 118264374 118264386 129689560 129844038 134818146 58083591 102018542 101520009 124202790 124202871 101592209 102187625 102187628 102351655 59340908 59340909 59340910 160043157 156769257 160448855 89872831 140533856 100915807 25240827 25241136 25246272 10290769 129148415 129148416 129148531 153694874 153695618 153695678 153697277 71751801 54159346 54159348 44557099 131698612 123600984 138977863 68326741 11051626 11499207 166451381 59539825 10630463 10701816 10701817 10855425 88822544 88822950 88901888 88901895 88901902 88901909 614 8988 145742 450588 12210862 12210865 12210867 12210868 12210869 12210870 12210872 12210873 122164811 54728052 71309447 71309553 71310238 71310239 57616909 57616916 57616951 57616954);COCONUT:(CNP0219104);NORMAN:(NS00014010 NS00074201 NS00079485 NS00081433);METACYC:(D-PROLINE PHOSPHATE-GROUP);PLANTCYC:(PRO);CHEBI:(32868 17203 32871 26271 60039 16313 32864 32862 172951 192088 32867 32872 57726);KEGG:(C16435 C00148 C00763);DSSTox:(DTXSID20584372 DTXSID5044021 DTXSID70228375 DTXSID70883367 DTXSID901316693 DTXSID9041104);LOTUS:(Q20035962 Q484583 Q20035886);YMDB:(YMDB00903 YMDB00378);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ONIBWKKTOPOVIA-UHFFFAOYSA-N)",139577461630,114.056,38,0.638,750670787568813824,750669909835152128,NA,1,"C5H9NO2","[M - H]-","C5H8NO2-","Amino acids and Peptides",0.995,"Small peptides",0.999,"Aminoacids",0.999,"Organic acids and derivatives",0.999,"Carboxylic acids and derivatives",0.999,"Amino acids, peptides, and analogues",0.999,"Amino acids and derivatives",0.999,"Alpha amino acids",0.881,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Alpha amino acids; Pyrrolidine carboxylic acids; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",114.056,38,0.638,7.50671e+17,7.5067e+17,NA,"1746",333.077825995366,197.652967103162,194.652620140063,1145.79845381798,193.455052648122,203.889926818769,186.372339108911,330.564820926537,434.058843342278,596.671724216568,1673.63543587632,593.081505618916,192.484551969841,833.784095083282,577.669581227573,1052.5463699489,554.86904524772,684.635753820371,1633.17170348826,1521.42052400186,1140.57001159575,1116.05885369413,1475.79333933393,458.513092170274,1709.85529963523,1941.75189899942,862.860302634037,1812.57919863281,1124.36484412772,366.807505589269,2071.77988118812,216.077097809185,224.096454016536,153.197418808029,982.918470604575,361.988810440296,740.711965412042,361.336618774659,672.457980521979,735.294860094705,503.517209966611,1124.447802675,762.511934976194,679.217776496984,899.124092409241,1519.10450120642,1521.72720555638,151.634503778247,427.957928650008,697.646056105611,372.957773377338,429.114328177004,482.852567898992,881.999297473607,3142.10285714286,2547.24330033003,483.696720164522,538.780627371148,4884.79911002336,760.564381501441,869.228381482912,1456.64005813425,2205.4481724808,936.504545621848,620.938376089016,1724.11041844925,735.193689966012,241.966116611661,984.999591511214,738.440650868366,3482.07336831244,555.196381157623,5646.83542148607,1263.45071359343,2438.07163151098,5121.36438193175,231.032100866337,896.581995558046,780.649270652256,952.741584158416,1130.66969372096,633.318038701918,1014.3908459267,575.418428045588,1926.80565415032,653.712106403773,1480.72694004513,272.722597663143,384.946094609461,1293.84952775508,689.686439587355,1197.44595368628,508.128844884488,209.28201423916,467.983273555121,884.080092517449,391.128458684378,540.457104726866,282.451826561967,272.867084753282,650.495676639247,"1746"
"183","114.84207_1.1315","3245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3245",1.05304402780704,249.594080698392,1.0059566932303,247.659057177733,670.709649536382,1.0759362892811,1080.23042786422,1.01837591166524,0.925104099194966,691.953007354478,205.66921024833,1.04415758031499,1.03541985997763,1.05528932424159,272.916241757003,395.196077036815,260.839213388794,1.10229553022117,268.776245592366,596.954312470958,422.251681384355,158.732752159678,334.213198919892,394.104303346186,1.04195935383012,351.557912934151,376.707625630488,0.92857540913566,204.592369300624,621.557114340466,551.748736633663,543.636596264,633.30719199755,1134.29641329892,512.486350919661,383.80280356518,387.05638510921,1166.62234794908,417.60409807852,203.997520447697,1364.19493177388,857.120105957964,836.303412554535,465.605277783496,1186.26245481691,1457.75804975456,574.182921319851,356.909037133222,811.038213107025,424.815511551155,207.430952695269,735.908575973876,667.566151330729,621.895369887866,2857.3998679868,1441.42672324375,588.405826107236,774.589662255945,1018.33380353766,1856.51217780006,968.214520096774,1242.32144608956,888.840018506524,641.018042622106,467.166288336151,515.501886484945,575.172255061327,1137.24074807481,1572.30438250112,1418.86893361467,919.846800289785,833.353528371318,2187.87119459609,1556.03929989928,2095.92389151959,1501.78540772532,602.616785272277,744.056184486373,652.949595646588,1153.56923076923,1.05080826553993,220.625287257576,716.672668056279,674.30617089542,251.511949685535,792.844983639995,382.326338260109,514.523634202069,1.09984598459846,889.54529940518,193.199360690786,1054.28418296375,1059.68386670925,391.897951304564,1.0736023710831,506.391178380133,266.934669864502,155.330707496979,751.142659610789,472.956173499224,766.874173664655,"3245"
"184","114.93595_0.5281","908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"908",3636.1610280177,3331.46896625146,3128.52531594623,4280.0366588518,3441.92872858714,1194.28928110202,1905.70411951909,2797.47862934442,2931.65489034885,3330.57007658539,2869.3450307056,2780.59163637883,3805.16798541779,4858.55204880829,2144.07357168354,3413.05702895431,4081.46987716523,3541.67553860063,2860.04215391358,2080.67433963613,3571.52689322986,2865.07688059643,3311.53627362736,1950.66617581523,2888.31132881709,1661.55304101839,2907.01744815991,2512.7250571211,3855.415526266,1872.9534493772,3460.55540594059,8484.66673227959,2653.23670511381,1985.50017336364,1944.01634953074,2216.38401844342,2377.35140092459,2377.9000967766,1820.81864382757,2061.49393026259,2457.28747611603,12742.2945978808,2022.54373767357,1877.85554023178,1873.66619519095,1646.99625592811,1559.71762122907,3384.28018539559,2624.90028288543,3235.60940594059,1825.74433443344,1697.20419483809,2730.7460441457,2012.52519637929,3053.48669495521,2488.79434229137,2229.83764072339,4854.94631257518,1699.4474135054,1856.51217780006,2108.79094069571,1026.18657462076,3028.79082076432,3695.42117854908,2104.15187710141,2229.22487063521,1768.26917393232,1347.31133113311,1082.23548405921,918.867229345885,1829.37797194354,2779.53890255555,1865.00986397705,1912.27540335607,1333.08506241929,1922.370288531,3760.31327351485,1143.42478776179,3129.20875217293,1946.41012947449,2475.70427361207,2405.94291359722,2294.48132708008,2026.95273901148,1632.12993752205,4310.99502825819,3348.65838534572,1957.43696245797,2002.8195379538,2165.91550901731,3596.28885152666,1703.62507159807,2775.8693495156,2438.33779604376,4371.70885505036,2951.32851809771,1930.53711333866,1896.78356688128,2773.31853875043,1749.89752172773,2271.74261721183,"908"
"185","114.96362_1.1323","3200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3200",2262.99161575732,2853.56814649207,3523.86629638574,4053.39520644824,4898.24265283671,2752.24502798106,8749.66760961811,2856.544432221,3303.54673822522,5605.73132399612,3494.9445866829,2862.0359276434,3630.18202908157,1696.90523338048,3354.63460273921,4836.09972112523,3025.22725408636,3229.72590354804,3020.37181504871,5773.89362690782,4331.31238961734,4264.0941185752,4668.54624662466,3849.99903121428,4523.14555497655,3903.14390486668,4464.64838408369,1355.72009733806,2221.40867335141,4874.46862024912,6001.52958415842,6065.11489478968,4069.65691538226,6515.94552529183,5824.11428798191,7512.45112286696,3635.72906099684,6804.36670885134,5255.98177731884,3865.839087387,5575.44732017061,6491.62384922703,9265.26190808216,5856.85136164344,7397.44625176803,11853.3821449372,5330.26637674428,3932.40015149056,6349.64655036932,2575.70181518152,4630.35159515952,5109.40079124191,4745.88587519302,3741.40590199371,23737.8187647336,14140.8769448373,9984.45837131893,9362.05348385306,18551.5594615641,9445.44947152943,5734.89507390164,10071.1585066764,9371.30452484501,9687.02639037138,6566.88529340739,12750.0664140488,5575.35732229939,9733.63696369637,8195.04102394522,8863.1133744522,16033.1206779214,6470.68526236607,22739.0587582123,10041.1083027689,13395.4068015497,13615.9044745676,6400.26585705446,6727.73713597775,6999.8690197264,7420.15323686215,6539.17983645498,4709.89360194154,5934.82681952406,6517.73540932622,6528.51975008822,5471.85178260315,4339.53605627503,7203.88802407445,2980.58261826183,8480.31918815682,4929.59271021442,6369.67621307585,9703.83468540402,5631.00392303381,3111.29967139881,7820.51347183899,7281.52692536334,5153.95040487655,10773.275862069,5577.29434776471,5352.98142222031,"3200"
"186","114.98848_0.4526","351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"C2HF3NO4","[M - CO2 - H]-","CF3NO2-","Fatty acids",0.19,"Fatty Acids and Conjugates",0.432,"Halogenated fatty acids",0.666,"Organic acids and derivatives",0.799,"Carboxylic acids and derivatives",0.654,"Carboxylic acids",0.538,NA,NA,"Carboxylic acids",0.538,"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",114.988,27,0.453,7.50671e+17,7.5067e+17,NA,"351",165643.825574047,168915.055892686,157331.626821219,163298.072116409,168708.517994657,181618.04563065,158311.536421499,159477.667766777,150144.395299343,148194.219038027,146510.225055055,173225.742574257,177678.047972161,190163.136228335,161157.698160708,161764.68210148,162536.411037553,174162.693774945,190603.087833934,152410.065410873,165511.957898493,168887.704627036,164856.914491449,173080.459591947,187135.89994789,189461.564251663,163327.128712871,168165.006594468,158882.209749637,165741.911529863,173819.659405941,160089.908076295,166643.674594264,159841.430057403,160778.086866803,163810.740824602,155402.624043123,153316.876349289,179855.182328049,166770.124838571,155715.036766835,164651.285391697,171881.363428093,154652.97955991,172341.937765205,169586.546301689,184886.689607127,158936.759905499,170868.929750118,176834.612211221,186423.894389439,177986.703786658,157106.440185303,151373.539459209,161017.452145215,160923.179632249,185784.476434796,153104.728416767,165940.807653799,179699.51957221,163215.337385895,166823.428104278,158747.863421856,150595.08263094,140400.601861312,163449.333822271,141646.209546328,164097.02090209,154021.653796028,176876.870637883,159672.762398191,160572.996930083,150514.436939021,146389.289447179,189472.380542402,174075.409000127,150315.864789604,186039.985885381,172847.932884892,170846.268088347,166658.190914633,169736.534868237,169318.394997394,165206.487805838,144847.640990514,160268.329579739,159861.597576595,154886.378243828,167286.574257426,154368.978164611,183134.732341159,157886.981425415,162103.106568721,190501.625256865,177681.192414252,167647.630254829,156881.757989464,170476.127612761,156799.163537043,172167.336815148,174782.466012328,"351"
"187","114.98857_0.854","3095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3095",918.570305456077,2114.89739167465,2102.44948885132,1728.86748948867,1081.18788307402,1614.98037021093,1259.42185289958,1132.43401377175,1078.67137966133,2415.75576290834,1028.34605124165,1890.96937795045,1475.47330046812,846.764153771454,3405.34856369887,2430.680417002,2830.96451657,1974.21129462612,1430.02107695679,2922.23519319441,3743.63792703595,2043.80742377027,2586.23783978398,3410.27587142276,3865.66920270974,1496.57614332862,2174.89355501588,5058.87882897108,2785.69271194635,2396.82162248483,3763.45299009901,2025.96878137118,2365.46257017454,2425.54555611203,4306.59132125637,1562.99318663675,2674.87117483015,4036.66217524008,3968.55469841463,734.649298321136,2646.38380329261,1277.4855827688,2195.81927206805,2570.34692575287,2001.32688983184,7025.72834678426,4508.19599316008,1268.42893469675,1120.46809680968,3420.17731023102,2449.35700770077,2072.84926632198,3431.82218185121,3948.83299558026,2271.02483734088,1635.62809995285,1753.98350541692,1166.55626908485,1909.65393258427,3772.54133767807,1472.59666171956,972.606921609592,666.630013879893,1547.3483749862,2649.22564226404,2291.34580124679,2725.81232451603,1809.24664466447,622.893127662472,3138.95593247849,3461.22262958003,2801.89716795088,2036.15412232812,2138.36658368332,1674.15686612139,1007.70438108188,1113.59405940594,3721.83730825913,2280.08147532311,4338.25788271135,1230.49647894726,3533.22540323447,2177.26089977419,719.273035056985,2676.98362289059,1423.19126333234,571.55856628784,2012.22291159698,3064.17091309131,1814.42922027327,1864.55022105984,3278.40454954586,1846.67688704354,1923.6928824958,1442.92158673568,2170.3927933777,2642.70446671996,2809.11482623672,2042.65576988733,977.866120868706,2380.17645669122,"3095"
"188","114.99307_1.1319","3112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3112",1.05304402780704,486.309319706164,178.054334701763,311.777280037201,808.386798679868,262.636048213517,1604.10572842999,234.837485230004,457.371466641991,784.85938313601,567.604060659231,356.788645193633,271.901255230126,361.014477823049,365.516177879648,1321.99824065582,500.006905305915,494.820463516285,531.378305476423,1496.40597633771,863.498000178396,568.282971085953,1143.7398379838,947.051334017942,924.530534653465,885.506951647546,728.01503456006,252.108223580332,188.409922011309,693.002754710955,1350.17093069307,1701.26276007322,1229.67316525467,1650.41091035174,1324.11317684875,831.607039789218,650.801115499074,1887.62100796546,809.196501245216,714.314102453724,1741.42280894756,1318.72980719125,2115.1565232982,1645.31014182499,1303.1210906805,2375.87528080539,1019.83160294708,1149.4292052156,1654.67900361465,424.506179867987,875.697372937294,945.809415360141,1119.7239349623,1786.76733638276,5867.52120697784,3063.85667138142,1719.00981618504,2674.47595077265,3691.40442763377,2514.3314533985,1305.9259560453,2418.3494231992,2136.99046914037,2206.02937171041,1182.0764958297,3640.69388420324,1189.31106842027,2353.6704070407,2235.45316967846,1894.52978412595,3866.16592390946,1334.3819301848,5303.62180068474,2310.30987628513,3399.95867412828,3240.41533166192,1470.29215655941,796.454507337526,1121.15025319326,1282.06085300838,761.310588383679,999.094366529928,205.027210352614,861.356518315847,1105.033937356,486.965070326775,612.921357269197,1170.00501551093,688.393601760176,1864.7772562285,769.892189218922,1148.36191800998,1183.57619503886,1336.41663034228,241.667893730805,1431.03936049343,1478.6438718406,1191.80032101571,2321.05428473882,1012.03750680567,1118.69367066859,"3112"
"189","114.99767_1.1326","3104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3104",242.937257215083,1696.60112849995,1427.45254769379,1484.79207920792,1774.48365550841,747.990908308222,2853.58477722772,1078.46009045349,1041.66721569353,1964.5233651964,963.906611999356,958.327827213101,1222.83085463358,182.565053093796,1163.60365979672,1448.30380504969,1476.00632725994,1287.48117929833,710.330107376935,2694.42413411016,1702.38323075551,1398.0313202635,1866.33864986499,869.082800178257,1086.76360604482,1015.91726124993,1657.550906034,1164.43356305612,576.368333648651,2177.29591184925,2075.73932673267,1991.53026396079,1716.44005307747,2498.72596987325,2654.17742415524,2048.66322224738,1469.82253083531,978.697535919005,1830.93992589443,1852.76229014206,1895.78715766313,1882.03908285565,3365.92704743311,865.871472386324,2778.0931164545,3393.81046676096,1711.67928391986,2083.39677902216,2511.96966839541,1106.37632013201,1704.76127612761,2653.58189772466,1838.96266690889,1891.92804894525,4556.19055162659,2495.39341819896,3175.1870587487,1877.03621726659,4353.1656914006,3881.13372603083,2168.75174334682,3828.67486601871,2984.38582400296,3420.35746622989,1765.22185276689,2324.95220633174,1865.22388059701,3873.65755775578,1910.68528856815,2067.95836714819,3325.14412416851,2272.41279199789,4273.05583418155,4189.33657665191,2328.32613000431,3006.75706454766,2429.22037438119,1994.24903999834,3302.05668505782,2132.00913937548,2435.77355952156,2140.76312793969,2386.73814486712,2657.66958644175,2566.99902443074,2243.11936429694,1822.19862971923,3131.15627960545,1427.6000880088,3500.6134433021,2045.09097702223,3504.39563047214,3321.88966251464,2368.81922909272,1379.57904684178,2044.63171563058,2055.55066314085,1255.80775126693,2782.91848753841,2029.11504103567,1948.58830351582,"3104"
"190","114.99925_1.1313","3163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3163",2459.91084895724,5018.49079101459,4198.86323754327,5606.95456394955,5904.79812981298,2669.39793370641,9187.15099009901,3276.11530782708,4046.40532987878,6459.74800934988,4028.35994485524,2853.68266700088,3156.99515307179,1689.51820811079,3718.08465628346,5784.79484923918,3718.32546331556,3262.79476945467,4625.66009920912,7786.67133716982,4214.49091071269,4517.47497140152,4871.01789378938,3373.47084923757,5484.87403856175,4415.0960238881,4347.91944703904,4110.80333624357,2910.73889554561,5564.97676461195,6703.34130693069,6103.48924276125,4945.22502806982,8016.14400739685,5731.87269588682,6614.16734937527,4385.14207640046,7245.33879252587,5209.42387981129,4431.78157554886,6858.60096886882,4023.48262984193,6027.79775683806,6309.59461517877,9484.20760647493,12560.4259921791,6056.3054318225,5683.1385958268,7694.01186547226,2628.28820132013,5648.80897689769,7106.91177024679,5429.70754836952,6848.95319707409,25151.9064592173,14037.1771805752,10403.0828333369,10203.8982141205,25091.3178329069,10660.8488950161,6760.32642771464,12241.5885184849,10509.1825668548,9291.44981412639,7021.88724388386,14898.8395876625,7239.28476429732,11966.3243124312,9762.48361181894,10588.2713845155,18195.0130622818,6173.93010348263,25125.8273341353,12245.0223294882,14374.5088247955,13488.4545106871,6540.4317759901,9111.08263279158,9208.16665406999,9314.21492764661,6563.3484265624,5795.30559910655,7663.82812228591,8701.13741314489,7683.3580339166,6508.44482216462,5196.26413483237,9156.68210948675,5303.45733773377,10820.077915661,6493.24167133694,8438.36380001637,10199.8297455552,7339.91556136746,3883.21977620756,9903.68487258562,8826.77637701658,5988.75153744883,14282.5904745647,5446.25363473211,5683.65095251391,"3163"
