"node","degree","strength","eigencent","betweenness","closeness"
"11195",28,1.11079756076021,0.266106119069642,0.00149563681752032,0.0175112968290645
"10351",41,1.18896861917437,0.262359535197411,0.00324527026658745,0.0171744511486112
" 2845",37,1.12136073287216,0.318225480692231,7.52178865954095e-05,0.0154392925334151
" 9973",29,1.09872770181234,0.225408586697973,0.000667149950672328,0.0163515135990237
"10648",43,1.19730489972513,0.41472406284833,0.0013659132160007,0.0182676703944375
" 9769",28,1.09328222268974,0.213115188660115,9.59300582666093e-05,0.0149684453607642
"11112",49,1.30508938899574,0.493402295250644,0.00454468651038061,0.0197559026985001
"15474",49,1.43151082782777,0.48844324522531,0.00797745643630735,0.0195825628924175
" 2193",35,1.32937861680772,0.576229165311648,0.00367695552878719,0.0192433122761293
"12841",37,1.1170601213748,0.42302196199102,0.00171256956291867,0.0174426749601721
"12824",53,1.38088974669681,0.587787781479308,0.000201671145219576,0.017023008464771
"12822",43,1.35987845942641,0.591268120975956,0.00141714858802945,0.0173762855761151
"12825",42,1.30273705720552,0.555429656402207,0.000402252176140668,0.0170125195213764
"12848",51,1.14492074571738,0.457476890274234,0.00182049087846861,0.0171622768889035
"13753",39,1.43142167379087,0.568698953621135,0.00241896362833643,0.0190458902374219
"13774",39,1.27293403666419,0.459010808623771,0.00369221712896597,0.0193029131480622
" 9595",48,1.59751248935731,0.355850201286091,0.00697019082450795,0.0173044558318325
"10272",43,1.22134526202607,0.366700694495981,0.0086707691301433,0.0197580428158569
"16305",47,1.58597129796917,0.715710860722361,0.00250072220072275,0.0193666720688076
" 9206",48,1.72192512442962,0.713423481947532,0.0106733090964588,0.0211948644438851
"16295",33,1.39406121426618,0.631243491777243,0.00321583718052838,0.0198602900291651
"12834",41,1.42044389019406,0.623891880322352,0.00127870407212196,0.0174681642449704
"14821",59,1.24933252052811,0.409271469095525,0.00223800465478805,0.0184438025969602
"12835",33,1.2824015064409,0.572835706588389,0.00163517144772629,0.0175334752992845
"13758",46,0.919758219185008,0.360944456467592,0.00147492464584912,0.0185248872397597
"10374",27,1.20501395386659,0.299589415102331,0.00327906380984046,0.0176158713218687
"13502",44,1.03275555712613,0.341871488972021,0.000736917265775317,0.0179263320143155
